"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000169972",25.5157943005026,0.554527340304887,0.1868207158536,2.96823260617112,0.00299517575993217,0.0360154603622864,"PUSL1"
"ENSG00000162591",70.7050157830153,0.368827518067386,0.140824162262413,2.61906417295145,0.00881713589883984,0.0750639280481113,"MEGF6"
"ENSG00000142583",575.719670057446,-0.259945855526488,0.10432468375232,-2.49170039320352,0.012713322774068,0.0955851524263826,"SLC2A5"
"ENSG00000074800",673.05942545721,-0.261752618816668,0.0899373457233561,-2.9103885233817,0.00360979713942189,0.0410069243164661,"ENO1"
"ENSG00000162496",324.273371309465,0.40523432954683,0.0877073572597166,4.62030030555888,3.83185003564385e-06,0.000228053135454682,"DHRS3"
"ENSG00000162494",98.8258882159585,0.516140832992731,0.118532547563999,4.35442284503377,1.33417959560653e-05,0.000618975289552258,"LRRC38"
"ENSG00000173614",235.17493236709,-0.314237331962012,0.0935414027082809,-3.3593395316296,0.000781290110417791,0.0137825189538372,"NMNAT1"
"ENSG00000037637",334.559302264598,0.168141462437755,0.0563223604707,2.98534118656524,0.00283262183366342,0.034650120091235,"FBXO42"
"ENSG00000048707",2103.59777628036,0.189900709578882,0.0655811073290766,2.89566183483282,0.00378359881324206,0.0423284130524472,"VPS13D"
"ENSG00000142661",2398.54639806319,-0.415916564998952,0.141744084241602,-2.93427811978399,0.00334324489589693,0.0390067305477717,"MYOM3"
"ENSG00000185436",63.8743977727333,0.385466903155654,0.133523030287809,2.88689451044346,0.00389064650302176,0.0431230212576623,"IFNLR1"
"ENSG00000169504",458.142287031403,-0.441687091822048,0.116564432344817,-3.78920982101523,0.000151127229543245,0.00410973062985599,"CLIC4"
"ENSG00000233954",313.248733960691,-0.324425527549207,0.0891254989061979,-3.64009774453724,0.000272534564514384,0.00641454189394974,"UQCRHL"
"ENSG00000133226",442.687826947478,0.276200297234333,0.083790998368726,3.29630034981683,0.000979672183796638,0.0162293210129235,"SRRM1"
"ENSG00000215910",39.9303286862974,-0.460097737394293,0.184609650807507,-2.49227348289628,0.0126928263280677,0.0955123023307469,"C1orf167"
"ENSG00000215695",471.589242251208,0.584192132578913,0.1152674502607,5.06814483410234,4.01711697925797e-07,3.60439389468852e-05,"RSC1A1"
"ENSG00000189266",427.570660003717,-0.318044722046351,0.0940457885406776,-3.38180717054424,0.000720106737016059,0.0129487351815828,"PNRC2"
"ENSG00000116237",540.218451477906,-0.522718964600939,0.105683225945755,-4.94609205882151,7.57181611898659e-07,6.00176779009897e-05,"ICMT"
"ENSG00000130770",515.498206578235,-0.30326692895779,0.0959268711394123,-3.16143876429626,0.001569918236222,0.0227085718031589,"ATP5IF1"
"ENSG00000214973",186.502625584179,-0.328275412881803,0.0805998140697677,-4.07290533694837,4.64302989410488e-05,0.00164469331479354,NA
"ENSG00000196581",14.5800127713066,1.11201043587972,0.265496198007889,4.18842320237924,2.80899333571903e-05,0.00110884975419395,"AJAP1"
"ENSG00000084628",90.2619673537919,0.388536729917439,0.131999394677974,2.94347357323352,0.00324551530545634,0.0381180920526553,"NKAIN1"
