"","PROBEID","SYMBOL","GENENAME","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"221051_s_at","221051_s_at","NMRK2","nicotinamide riboside kinase 2","27231",2.18227569760883,14.115111116369,12.9578566829535,8.5348500563198e-09,0.000162025593469175,9.30866231126167
"209288_s_at","209288_s_at","CDC42EP3","CDC42 effector protein 3","10602",-0.852922813394343,11.7048437017027,-11.1825510944806,4.97808602141725e-08,0.000472519925152926,8.05085300310225
"213353_at","213353_at","ABCA5","ATP binding cassette subfamily A member 5","23461",-0.897309681681227,12.416325371664,-8.32797493609379,1.46334305571074e-06,0.00820198112122056,5.35749915614074
"208374_s_at","208374_s_at","CAPZA1","capping actin protein of muscle Z-line subunit alpha 1","829",-0.720693167448262,11.9845248723719,-8.20334669887873,1.72818818399085e-06,0.00820198112122056,5.21677171939261
"215409_at","215409_at","LPCAT4","lysophosphatidylcholine acyltransferase 4","254531",1.51674612303668,7.91886844500983,7.61894871813606,3.86251849863209e-06,0.0146652102356063,4.52715560584139
"211559_s_at","211559_s_at","CCNG2","cyclin G2","901",-1.40194891334676,10.3489920578559,-7.24750215495388,6.58060384438975e-06,0.0171525116808923,4.06237894752341
"209286_at","209286_at","CDC42EP3","CDC42 effector protein 3","10602",-0.692518521016428,11.6567734336277,-7.18272588293002,7.2342585090722e-06,0.0171525116808923,3.97915177449036
"216893_s_at","216893_s_at","COL4A3","collagen type IV alpha 3 chain","1285",-1.03479318360926,10.2858539333655,-7.09229857795672,8.26420163777136e-06,0.0171525116808923,3.86187025120068
"215918_s_at","215918_s_at","SPTBN1","spectrin beta, non-erythrocytic 1","6711",-0.574812915854155,10.8754806967986,-6.99105101930159,9.604424532568e-06,0.0171525116808923,3.72902806321638
"206799_at","206799_at","SCGB1D2","secretoglobin family 1D member 2","10647",2.47322443537673,7.7785077072468,6.94702227007082,1.02573806983343e-05,0.0171525116808923,3.67075363616024
"212585_at","212585_at","OSBPL8","oxysterol binding protein like 8","114882",-0.600951496337196,11.0022914493285,-6.86373270265923,1.1624553789074e-05,0.0171525116808923,3.55967126174818
"201385_at","201385_at","DHX15","DEAH-box helicase 15","1665",-0.489453373183135,12.4199474802113,-6.83287357085113,1.21789685000806e-05,0.0171525116808923,3.51823335151653
"211025_x_at","211025_x_at","COX5B","cytochrome c oxidase subunit 5B","1329",0.502402900936131,15.9059467394734,6.72820532974263,1.42774506106607e-05,0.0171525116808923,3.37654518355127
