"","PROBEID","SYMBOL","GENENAME","ENTREZID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"219464_at","219464_at","CA14","carbonic anhydrase 14","23632",3.43102755597629,9.82884459406212,9.297574260696,4.08050179864331e-07,0.00723853631728354,6.39281506539618
"204330_s_at","204330_s_at","MRPS12","mitochondrial ribosomal protein S12","6183",1.81000133577418,8.30337676866951,8.79950040419378,7.62593375187899e-07,0.00723853631728354,5.88299645135352
"221051_s_at","221051_s_at","NMRK2","nicotinamide riboside kinase 2","27231",2.25218222687121,14.286226517697,8.02617232425823,2.12339010366471e-06,0.0133491490225927,5.02584232448662
"202236_s_at","202236_s_at","SLC16A1","solute carrier family 16 member 1","6566",0.721567605807913,13.7413475267677,7.82249343666635,2.81271576540091e-06,0.0133491490225927,4.78602027191705
"201597_at","201597_at","COX7A2","cytochrome c oxidase subunit 7A2","1347",0.58404336971206,14.4275183073671,7.59293111260371,3.88452116737309e-06,0.0147487499682822,4.50837646256903
"203827_at","203827_at","WIPI1","WD repeat domain, phosphoinositide interacting 1","55062",0.54814912422337,13.1633638541732,7.39373348312569,5.16759766631214e-06,0.0149508229973126,4.26101374997297
"221692_s_at","221692_s_at","MRPL34","mitochondrial ribosomal protein L34","64981",0.675478349581843,13.5108568239864,7.26631560809162,6.21886039990403e-06,0.0149508229973126,4.09959139889822
"202234_s_at","202234_s_at","SLC16A1","solute carrier family 16 member 1","6566",0.73733108950568,11.4330797525984,7.25740670609548,6.30038895799097e-06,0.0149508229973126,4.08821075014348
"210889_s_at","210889_s_at","FCGR2B","Fc fragment of IgG receptor IIb","2213",-1.71455558416285,8.34650506431815,-7.17705432886782,7.08900383533981e-06,0.0149530720900101,3.98500512650167
"205111_s_at","205111_s_at","PLCE1","phospholipase C epsilon 1","51196",-1.13697845180375,10.0914915472866,-6.9697855970675,9.6466281783623e-06,0.0163870579363335,3.71409652519127
"205295_at","205295_at","CKMT2","creatine kinase, mitochondrial 2","1160",0.636227851319219,16.4983029125668,6.92459063495309,1.03245768567145e-05,0.0163870579363335,3.65411949614779
"203862_s_at","203862_s_at","ACTN2","actinin alpha 2","88",0.602037904437827,15.3407261785374,6.92241597422644,1.03584437018543e-05,0.0163870579363335,3.65122533685869
"203823_at","203823_at","RGS3","regulator of G protein signaling 3","5998",0.873234710513893,12.4972339426983,6.84460490125903,1.16509745991185e-05,0.0170140078299743,3.54717167033818
"208813_at","208813_at","GOT1","glutamic-oxaloacetic transaminase 1","2805",0.694366840291648,15.1282639280315,6.68975409502518,1.47581525703264e-05,0.0171727928545726,3.33719614930489
"203863_at","203863_at","ACTN2","actinin alpha 2","88",0.625097535641821,16.1675189699811,6.66942012729921,1.52271094268771e-05,0.0171727928545726,3.30933538915423
"201740_at","201740_at","NDUFS3","NADH:ubiquinone oxidoreductase core subunit S3","4722",0.568695478714863,15.1671363040827,6.64843309592339,1.57276778653578e-05,0.0171727928545726,3.28050940868924
"202675_at","202675_at","SDHB","succinate dehydrogenase complex iron sulfur subunit B","6390",0.492933337384564,14.34787502699,6.63701883547726,1.60071963366718e-05,0.0171727928545726,3.26480170253164
"204615_x_at","204615_x_at","IDI1","isopentenyl-diphosphate delta isomerase 1","3422",0.707920762907403,13.2147336583633,6.59515188394311,1.70782328117438e-05,0.0171727928545726,3.20700505539761
"203745_at","203745_at","HCCS","holocytochrome c synthase","3052",0.513407670133384,12.7945412640219,6.55129381239214,1.82817912706402e-05,0.0171727928545726,3.1461532200789
"201403_s_at","201403_s_at","MGST3","microsomal glutathione S-transferase 3","4259",0.503931153303467,15.6603714242154,6.54661517821093,1.8415371393161e-05,0.0171727928545726,3.13964320926464
"218105_s_at","218105_s_at","MRPL4","mitochondrial ribosomal protein L4","51073",0.455413843737571,11.9779534745334,6.48650478118561,2.0226322422794e-05,0.0171727928545726,3.05568510741251
"200978_at","200978_at","MDH1","malate dehydrogenase 1","4190",0.614603602666286,16.2644823239823,6.48604115606337,2.02409993897962e-05,0.0171727928545726,3.05503524892174
"204331_s_at","204331_s_at","MRPS12","mitochondrial ribosomal protein S12","6183",0.580611792628131,12.5274145665538,6.44807051201577,2.14820446856429e-05,0.0171727928545726,3.00169258634016
"221896_s_at","221896_s_at","HIGD1A","HIG1 hypoxia inducible domain family member 1A","25994",0.487270553464981,14.174368549394,6.44134149852164,2.17102311688655e-05,0.0171727928545726,2.99221473568193
"201489_at","201489_at","PPIF","peptidylprolyl isomerase F","10105",0.650477301893501,13.3197972415957,6.40310195477208,2.30564721784366e-05,0.0175081627134176,2.93821297446881
