Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,Time_point,Tissue
SRR13202575,OTHER,50,2140409300,PRJNA682757,SAMN17007017,969217185,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX9635954,GSM4958177,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958177,Patient 20,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202579,OTHER,50,2159115450,PRJNA682757,SAMN17007043,989221691,GEO,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX9635958,GSM4958181,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958181,Patient 20,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202580,OTHER,50,2265655050,PRJNA682757,SAMN17007042,1024668350,GEO,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX9635959,GSM4958182,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958182,Patient 20,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202581,RNA-Seq,50,3996160400,PRJNA682757,SAMN17007041,1820866023,GEO,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9635960,GSM4958183,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958183,Patient 21,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202584,RNA-Seq,50,1988707800,PRJNA682757,SAMN17007038,919833641,GEO,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX9635963,GSM4958186,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958186,Patient 21,SRP296472,Post reduced activity 0 baseline,muscle biopsy
SRR13202586,RNA-Seq,50,1617417250,PRJNA682757,SAMN17007036,750043314,GEO,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX9635965,GSM4958188,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958188,Patient 21,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
SRR13202587,OTHER,50,2393092000,PRJNA682757,SAMN17007035,1090815985,GEO,public,"sra,fastq","gs,ncbi,s3","s3.us-east-1,gs.US,ncbi.public",SRX9635966,GSM4958189,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958189,Patient 21,SRP296472,Pre reduced activity 0 baseline,muscle biopsy
SRR13202588,OTHER,50,1971107250,PRJNA682757,SAMN17007034,902874301,GEO,public,"fastq,sra","gs,ncbi,s3","s3.us-east-1,ncbi.public,gs.US",SRX9635967,GSM4958190,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958190,Patient 21,SRP296472,Pre reduced activity 60 min after Leucine,muscle biopsy
SRR13202591,OTHER,50,1912201100,PRJNA682757,SAMN17007031,864848912,GEO,public,"sra,fastq","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",SRX9635970,GSM4958193,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958193,Patient 21,SRP296472,Post reduced activity 60 min after Leucine,muscle biopsy
SRR13202592,OTHER,50,1749478600,PRJNA682757,SAMN17006969,791423202,GEO,public,"fastq,sra","ncbi,gs,s3","gs.US,s3.us-east-1,ncbi.public",SRX9635971,GSM4958194,Illumina HiSeq 2000,SINGLE,other,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2020-12-07T00:00:00Z,GSM4958194,Patient 21,SRP296472,Post reduced activity 180 min after Leucine,muscle biopsy
