"","ID","Description","SPOT_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1282_at","1282_at","collagen, type IV, alpha 1",1282,0.52818752575,6.0604267411,7.43841231589984,9.66712835925478e-08,0.00189997740772793,7.57507245789885
"1284_at","1284_at","collagen, type IV, alpha 2",1284,0.468608208250002,6.23755487575556,6.94793462396342,3.06850435188608e-07,0.00301541922659845,6.56716477297804
"51673_at","51673_at","tubulin polymerization-promoting protein family member 3",51673,-0.511559596849994,8.46316385432222,-6.73878179044181,5.06774818833054e-07,0.00332005076311495,6.12594548300539
"83699_at","83699_at","SH3 domain binding glutamic acid-rich protein like 2",83699,0.374764819199998,5.73679230623333,6.52351387460789,8.53990393065475e-07,0.00373533610561079,5.66498553444634
"57568_at","57568_at","signal-induced proliferation-associated 1 like 2",57568,0.477584125100005,5.48978393777778,6.47566397058478,9.5972854295775e-07,0.00373533610561079,5.56160692695292
"23500_at","23500_at","dishevelled associated activator of morphogenesis 2",23500,0.584198020799997,6.46769317723333,6.40517956338744,1.14032851499261e-06,0.00373533610561079,5.40873427070387
"253738_at","253738_at","early B-cell factor 3",253738,0.304736764099999,6.43284590682222,6.29323335923686,1.5012524678325e-06,0.00421508800039714,5.16451095695272
"56104_at","56104_at","protocadherin gamma subfamily B, 1",56104,-0.300753760049995,6.1204119786,-6.06359994395486,2.65001540132884e-06,0.00651042533721463,4.65827020140124
"22795_at","22795_at","nidogen 2 (osteonidogen)",22795,0.427128245850001,6.11620529218889,5.9350336879359,3.65121451105566e-06,0.00719026536036259,4.37189689442758
"6678_at","6678_at","secreted protein, acidic, cysteine-rich (osteonectin)",6678,0.4251983067,10.1476386537333,5.84490032311202,4.57537500493956e-06,0.00719026536036259,4.16994140631352
"1003_at","1003_at","cadherin 5, type 2 (vascular endothelium)",1003,0.321375081149999,7.51079854908889,5.82222500701619,4.84316732242036e-06,0.00719026536036259,4.11898548283834
"1910_at","1910_at","endothelin receptor type B",1910,0.574238316699997,5.62778808846667,5.82016656349328,4.86825104198161e-06,0.00719026536036259,4.11435684160498
"57156_at","57156_at","transmembrane protein 63C",57156,0.499296188350001,3.39755575238889,5.77719829102594,5.42302279165619e-06,0.00719026536036259,4.0176284610635
"57678_at","57678_at","glycerol-3-phosphate acyltransferase, mitochondrial",57678,-0.314954939600004,7.04696476355556,-5.7598034293662,5.66546171597903e-06,0.00719026536036259,3.97841112712004
"2149_at","2149_at","coagulation factor II (thrombin) receptor",2149,0.3844702763,4.71337304756667,5.74531671115965,5.87573817306698e-06,0.00719026536036259,3.94572479938015
"23767_at","23767_at","fibronectin leucine rich transmembrane protein 3",23767,-0.5000515835,6.23717769978889,-5.74432461759804,5.89042474494873e-06,0.00719026536036259,3.94348549929398
"26287_at","26287_at","ankyrin repeat domain 2 (stretch responsive muscle)",26287,-0.693229348550005,9.56888607785556,-5.72274076886473,6.21931978865188e-06,0.00719026536036259,3.8947410258672
"10117_at","10117_at","enamelin",10117,-0.444582985299996,6.09593920615556,-5.66032850348334,7.27897701549836e-06,0.00757494012184874,3.75350918546418
