"","PROBEID","ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1282_at","1282_at","1282","COL4A1","collagen type IV alpha 1 chain",0.528187525750001,6.30883534772093,7.40831037660653,1.03444135039811e-07,0.00143239093789627,7.58726445617237
"1284_at","1284_at","1284","COL4A2","collagen type IV alpha 2 chain",0.468608208250004,6.44223344083721,6.91665396713424,3.29987966433258e-07,0.00228467168560066,6.5607402636314
"51673_at","51673_at","51673","TPPP3","tubulin polymerization promoting protein family member 3",-0.51155959685,8.29756568374419,-6.71505494526416,5.35625067473911e-07,0.00247226676977042,6.12912543505654
"83699_at","83699_at","83699","SH3BGRL2","SH3 domain binding glutamate rich protein like 2",0.3747648192,5.81923966137209,6.48269420466651,9.41743739805149e-07,0.00272756537387743,5.62427593624224
"57568_at","57568_at","57568","SIPA1L2","signal induced proliferation associated 1 like 2",0.477584125100002,5.57145660537209,6.45144523948711,1.01647791931862e-06,0.00272756537387743,5.55579686133614
"23500_at","23500_at","23500","DAAM2","dishevelled associated activator of morphogenesis 2",0.584198020800004,6.60982270383721,6.38988718995369,1.18187276978873e-06,0.00272756537387743,5.42050282882518
"253738_at","253738_at","253738","EBF3","EBF transcription factor 3",0.304736764100003,6.46117396518605,6.23756301724132,1.71934299559305e-06,0.00340110606571099,5.08351202941858
"56104_at","56104_at","56104","PCDHGB1","protocadherin gamma subfamily B, 1",-0.300753760049995,6.01517874865116,-6.01249508542939,3.0049990345245e-06,0.0052012777038826,4.58007533299516
"22795_at","22795_at","22795","NID2","nidogen 2",0.427128245850006,6.29789321953488,5.91167615202742,3.86523073895807e-06,0.00547511810980626,4.3525444397741
"6678_at","6678_at","6678","SPARC","secreted protein acidic and cysteine rich",0.425198306700008,10.291563708,5.82240750314451,4.8342333971075e-06,0.00547511810980626,4.15009689204752
"1910_at","1910_at","1910","EDNRB","endothelin receptor type B",0.574238316700002,5.81374010288372,5.8084389269064,5.00677750705934e-06,0.00547511810980626,4.11833735360793
"1003_at","1003_at","1003","CDH5","cadherin 5",0.321375081149995,7.661395273,5.78270674785109,5.3411551666564e-06,0.00547511810980626,4.05977547689003
"23767_at","23767_at","23767","FLRT3","fibronectin leucine rich transmembrane protein 3",-0.500051583499999,6.07781143118605,-5.72917312894525,6.11121332078331e-06,0.00547511810980626,3.937713179616
"57678_at","57678_at","57678","GPAM","glycerol-3-phosphate acyltransferase, mitochondrial",-0.314954939599997,6.97298224069767,-5.71995508629655,6.25475250616431e-06,0.00547511810980626,3.91666432150732
"2149_at","2149_at","2149","F2R","coagulation factor II thrombin receptor",0.384470276300005,4.86364014448837,5.71902806594166,6.26937542696085e-06,0.00547511810980626,3.91454703114671
"26287_at","26287_at","26287","ANKRD2","ankyrin repeat domain 2",-0.693229348550009,9.39668957513953,-5.71543276836394,6.32641653476567e-06,0.00547511810980626,3.90633461343944
"10117_at","10117_at","10117","ENAM","enamelin",-0.444582985300001,5.96887322713954,-5.64177237652274,7.61816614898639e-06,0.00588661240069027,3.73778527457236
"10946_at","10946_at","10946","SF3A3","splicing factor 3a subunit 3",0.406868527550004,8.47666294862791,5.63448098373534,7.75976259405067e-06,0.00588661240069027,3.72107123007738
"9771_at","9771_at","9771","RAPGEF5","Rap guanine nucleotide exchange factor 5",0.317660160400004,5.61691855674419,5.57190361645891,9.09003279717989e-06,0.00588661240069027,3.57741042563624
"340156_at","340156_at","340156","MYLK4","myosin light chain kinase family member 4",0.749725505150001,5.98293348034884,5.55769891363765,9.4228492617504e-06,0.00588661240069027,3.54474767348459
"222584_at","222584_at","222584","FAM83B","family with sequence similarity 83 member B",-0.612973828349997,5.63783583246512,-5.55733254001829,9.43159464250878e-06,0.00588661240069027,3.5439049694581
"7837_at","7837_at","7837","PXDN","peroxidasin",0.408860813650003,6.50376127204651,5.55015730792617,9.60453349268113e-06,0.00588661240069027,3.5273985121541
"1306_at","1306_at","1306","COL15A1","collagen type XV alpha 1 chain",0.514177477450004,7.45676537602326,5.53957016298758,9.86558517249497e-06,0.00588661240069027,3.50303421166154
"159195_at","159195_at","159195","USP54","ubiquitin specific peptidase 54",-0.337575279049998,9.08664331590698,-5.51845845100555,1.04077783843429e-05,0.00588661240069027,3.45441855069912
"55790_at","55790_at","55790","CSGALNACT1","chondroitin sulfate N-acetylgalactosaminyltransferase 1",0.382388584800003,4.93468593106977,5.51020116977199,1.0627956237254e-05,0.00588661240069027,3.4353926894586
"22918_at","22918_at","22918","CD93","CD93 molecule",0.343145954000001,7.2719538172093,5.36761837969766,1.52676083114804e-05,0.00813117585727187,3.10591925346871
"2004_at","2004_at","2004","ELK3","ETS transcription factor ELK3",0.28697801455,5.85297172769767,5.26921876301804,1.96190730446727e-05,0.0095115155642712,2.87757610773433
"23024_at","23024_at","23024","PDZRN3","PDZ domain containing ring finger 3",0.277387877850002,8.63323727483721,5.26415611698647,1.98741505325308e-05,0.0095115155642712,2.86580824749342
"3481_at","3481_at","3481","IGF2","insulin like growth factor 2",0.609788170499996,6.8674128765814,5.25237104105526,2.04809685000653e-05,0.0095115155642712,2.83840731592166
"845_at","845_at","845","CASQ2","calsequestrin 2",-0.37246470895,10.2951968405116,-5.24996711630595,2.06070244044295e-05,0.0095115155642712,2.83281684692104
"25979_at","25979_at","25979","DHRS7B","dehydrogenase/reductase 7B",-0.231159773249994,7.47662742483721,-5.12656115360754,2.82483821158775e-05,0.0124628222887961,2.54530649865277
"56103_at","56103_at","56103","PCDHGB2","protocadherin gamma subfamily B, 2",-0.331752506699997,6.12785045418605,-5.11898779443707,2.88012069936792e-05,0.0124628222887961,2.52763070725921
