"","PROBEID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"7918768","7918768","DENND2C","DENN domain containing 2C",0.604494653618582,8.99101449184107,7.4640497318323,8.32441045466064e-07,0.0122959866825792,5.32792091891308
"8057506","8057506","FRZB","frizzled related protein",0.938250549746882,7.49887233641388,6.47713389236451,5.23198185202695e-06,0.027311041910239,3.86121019159286
"8084541","8084541","VPS8","VPS8 subunit of CORVET complex",-0.330778640845919,7.90568326675954,-6.36385038050625,6.51596568255098e-06,0.027311041910239,3.6819845002298
"7965686","7965686","ANKS1B","ankyrin repeat and sterile alpha motif domain containing 1B",0.399617466617611,5.87909363268582,6.29887292317446,7.39585455561275e-06,0.027311041910239,3.57817571657604
"7901287","7901287","CYP4Z1","cytochrome P450 family 4 subfamily Z member 1",-0.503619510411972,3.80080737098928,-6.09879772194817,1.0962686978665e-05,0.0277127301320773,3.25394341561026
"7939120","7939120","RCN1","reticulocalbin 1",0.293578351420868,6.50259873444769,6.08542925239864,1.12569481275786e-05,0.0277127301320773,3.23203347255343
"7995783","7995783","MT2A","metallothionein 2A",0.437340305173795,10.302452852463,5.79792842926476,2.00117825781614e-05,0.0422277200660031,2.75349324774985
"8040103","8040103","ID2","inhibitor of DNA binding 2",0.358675403654176,5.67224618128007,5.64184694955722,2.74710498202709e-05,0.0507218596119028,2.48791539187372
"8110932","8110932","SEMA5A","semaphorin 5A",0.264700544767746,5.70236057943225,5.52292528565202,3.50427322062499e-05,0.053439483921887,2.28290621591975
"8095376","8095376","MT2A","metallothionein 2A",0.399890927962652,9.8842172946326,5.50740398205792,3.61786500046625e-05,0.053439483921887,2.25598218563688
"7971950","7971950","DACH1","dachshund family transcription factor 1",0.326999204404374,5.29390522559662,5.40156545466722,4.50051059004755e-05,0.0604336744778112,2.07137913463117
"7972750","7972750","COL4A1","collagen type IV alpha 1 chain",0.665904084123604,6.2438508078722,5.32944929884296,5.2263055244969e-05,0.0643314657519531,1.9445999244896
"7918759","7918759","BCAS2","BCAS2 pre-mRNA processing factor",0.370632755591087,8.41987316230059,5.24181570571295,6.27267906918027e-05,0.0712721096391245,1.78948046651375
"8024676","8024676","GIPC3","GIPC PDZ domain containing family member 3",0.471598235828025,4.89148439224425,5.18808014823099,7.01844220206742e-05,0.0740495784048128,1.693799522123
"7970033","7970033","COL4A2","collagen type IV alpha 2 chain",0.553312179442407,6.37293434329916,5.13824641266873,7.79131418581803e-05,0.0750773331950435,1.60469039865716
"8133413","8133413","LIMK1","LIM domain kinase 1",0.302652691289744,5.92105026134988,5.11784495612552,8.13240356861888e-05,0.0750773331950435,1.56810709962199
"8161415","8161415","ANKRD20A8P","ankyrin repeat domain 20 family member A8, pseudogene",0.480515336291947,4.73797956847104,5.02455882632069,9.89812629462615e-05,0.086003072645837,1.40008257842651
"8019954","8019954","DLGAP1-AS1","DLGAP1 antisense RNA 1",0.269826045320504,4.56596387660361,4.87929604131732,0.000134652016452351,0.101723279587837,1.13608309452797
"7954511","7954511","STK38L","serine/threonine kinase 38 like",0.320757177190792,6.96719295392003,4.8585952256793,0.000140713057165517,0.101723279587837,1.09823687105378
"8089867","8089867","RABL3","RAB, member of RAS oncogene family like 3",-0.274688179857307,7.14235689044843,-4.83073045715653,0.000149314366327655,0.101723279587837,1.04720744799392
"8151457","8151457","HEY1","hes related family bHLH transcription factor with YRPW motif 1",0.324986845666279,5.1201852170325,4.82737261115347,0.000150386496101683,0.101723279587837,1.04105156370319
"7920664","7920664","THBS3","thrombospondin 3",0.346460363646773,5.24021739144732,4.80944135052522,0.000156246278632232,0.101723279587837,1.00815473112994
"8069301","8069301","COL6A2","collagen type VI alpha 2 chain",0.35931960682687,7.17583783317382,4.79620747583694,0.0001607200469793,0.101723279587837,0.983850269831356
"7934570","7934570","KCNMA1","potassium calcium-activated channel subfamily M alpha 1",-0.361013145918543,6.78248822122972,-4.78309846902052,0.000165280530100066,0.101723279587837,0.959753968230031
"8047069","8047069","INPP1","inositol polyphosphate-1-phosphatase",0.32386301455055,5.34550681409725,4.73567748598127,0.000182909585134159,0.108070299280667,0.872413760540887
"7921882","7921882","OLFML2B","olfactomedin like 2B",0.608291254801126,5.52751495269033,4.67802965291965,0.000206947720451325,0.112873843925859,0.765880580319243
"8095535","8095535","ENAM","enamelin",-0.424371372277864,6.47546009673718,-4.65472766701247,0.000217556284595435,0.112873843925859,0.722710374712459
"7999149","7999149","NMRAL1","NmrA like redox sensor 1",0.217652658279974,3.97922309424289,4.62906317067301,0.000229882971331393,0.112873843925859,0.675092997714819
"7902235","7902235","LRRC7","leucine rich repeat containing 7",-0.356419805229923,5.75410576370969,-4.62901365300455,0.000229907429597133,0.112873843925859,0.675001053276241
"8069848","8069848","KRTAP6-2","keratin associated protein 6-2",-0.311505784799877,4.21755643777848,-4.62606536163221,0.000231368463454319,0.112873843925859,0.669526178886909
"8164200","8164200","ANGPTL2","angiopoietin like 2",0.504366742744707,7.3586360330598,4.61070131455871,0.000239136529539782,0.112873843925859,0.640980308173171
"8095362","8095362","MT2A","metallothionein 2A",0.372498032574356,10.8947979477537,4.59296125188279,0.000248436826119103,0.112873843925859,0.607988092277511
"8158022","8158022","ZNF79","zinc finger protein 79",-0.214622672827056,5.62764632828291,-4.55582216444644,0.000269116858808358,0.112873843925859,0.538810076522367
"8050007","8050007","PXDN","peroxidasin",0.525251037601756,6.55577985222734,4.5503357732765,0.000272316929784024,0.112873843925859,0.528578491302573
"7917503","7917503","GBP3","guanylate binding protein 3",0.312737655890615,4.24896297315847,4.53461251429764,0.000281703871756174,0.112873843925859,0.499238992193966
"8026047","8026047","JUNB","JunB proto-oncogene, AP-1 transcription factor subunit",0.406781769636992,5.95244561605313,4.52560127646727,0.000287231267978345,0.112873843925859,0.482412716245573
"8059177","8059177","TUBA4A","tubulin alpha 4a",-0.237822893490597,9.89887718331048,-4.50137005548262,0.000302647473181101,0.112873843925859,0.43712637252311
"8115099","8115099","PDGFRB","platelet derived growth factor receptor beta",0.287976009781531,7.68246771237381,4.49593717002207,0.000306217787387078,0.112873843925859,0.426964709408558
"7976826","7976826","SNORD114-26","small nucleolar RNA, C/D box 114-26",0.406789704450104,5.14161461387545,4.48662449225478,0.000312437595288418,0.112873843925859,0.409539547184629
"8021181","8021181","SCARNA17","small Cajal body-specific RNA 17",-0.242367470198939,8.61975789209092,-4.48379736451546,0.000314351068014592,0.112873843925859,0.404247969256676
"8106573","8106573","THBS4","thrombospondin 4",0.823095888703639,7.43151105253458,4.48190831655998,0.000315636252840825,0.112873843925859,0.400711776583329
"8154367","8154367","TYRP1","tyrosinase related protein 1",-0.437206992914152,4.23358919713805,-4.46502972518095,0.000327358819934987,0.112873843925859,0.36910070583773
"7978712","7978712","CLEC14A","C-type lectin domain containing 14A",0.225350021749074,5.95729260747938,4.46329538922468,0.000328588131393402,0.112873843925859,0.365851007168598
"8180316","8180316","TGIF1","TGFB induced factor homeobox 1",0.303004523971715,5.9847429542372,4.45234280456477,0.000336460405012338,0.112951287328119,0.345322089249177
"8028241","8028241","ZNF527","zinc finger protein 527",-0.237275003199239,5.06944867301175,-4.4146588211945,0.000365038446095837,0.119821841939591,0.274603781061502
"8134257","8134257","GNG11","G protein subunit gamma 11",0.347980727388588,7.06227379526368,4.39401579552684,0.00038172507007732,0.12058562512543,0.235809937699623
"8116835","8116835","GCNT2","glucosaminyl (N-acetyl) transferase 2 (I blood group)",-0.577888968653484,4.87240170267341,-4.39164222568599,0.000383692666772405,0.12058562512543,0.231346922348783
"8114797","8114797","SPRY4","sprouty RTK signaling antagonist 4",0.264511035856977,5.07233057416203,4.38171974744259,0.000392029989238172,0.120639061896605,0.212684351349081
"8165866","8165866","STS","steroid sulfatase",0.245533862079499,6.66111921330101,4.35812275279048,0.000412602706731014,0.124378664920894,0.16826790857883
"8013035","8013035","ZNF624","zinc finger protein 624",0.268764695990358,4.24902179652141,4.30716168355677,0.000460844806345894,0.128583478862939,0.0721848921382984
"7898910","7898910","PNRC2","proline rich nuclear receptor coactivator 2",-0.231282771499576,8.82394130577244,-4.29838668202725,0.000469710741631228,0.128583478862939,0.0556191044236458
"8039933","8039933","PNRC2","proline rich nuclear receptor coactivator 2",-0.231282771499576,8.82394130577244,-4.29838668202725,0.000469710741631228,0.128583478862939,0.0556191044236458
"7897522","7897522","RBP7","retinol binding protein 7",0.346201504637547,4.29964328191109,4.29718803533517,0.000470935140261861,0.128583478862939,0.0533557816688983
"7975932","7975932","TMEM63C","transmembrane protein 63C",0.47577671390974,3.70432617321116,4.29668461454446,0.000471450339470859,0.128583478862939,0.0524051729377542
"8142194","8142194","LAMB1","laminin subunit beta 1",0.432060584990693,7.47307241308317,4.28799166572396,0.000480437196783998,0.128583478862939,0.0359871703354786
"7950321","7950321","UCP3","uncoupling protein 3",0.426432426042002,9.07823753326247,4.2674379757497,0.000502381581278064,0.128583478862939,-0.00285484666350744
"8063074","8063074","ZSWIM1","zinc finger SWIM-type containing 1",-0.243047729484238,6.84140310302391,-4.26388494496342,0.000506276570572722,0.128583478862939,-0.00957254966355947
"7903694","7903694","GPR61","G protein-coupled receptor 61",-0.273435348250826,4.50574341385415,-4.26353722528812,0.000506659393503036,0.128583478862939,-0.0102300328296616
"7934384","7934384","MSS51","MSS51 mitochondrial translational activator",0.354607423570858,9.58482580433376,4.25727631020547,0.000513602684511097,0.128583478862939,-0.0220699788912775
"8010030","8010030","GALR2","galanin receptor 2",-0.266433394786976,4.50748797344513,-4.24795648395267,0.000524116955693207,0.129028859209073,-0.0396999634886877
"7950307","7950307","UCP2","uncoupling protein 2",0.350511657890159,8.31664147245832,4.22075205755839,0.000556069780992851,0.13314345045489,-0.0911975315206925
"8133736","8133736","DTX2","deltex E3 ubiquitin ligase 2",0.394318983024301,4.59758699001405,4.2093753097452,0.000570009660695749,0.13314345045489,-0.112749011830064
"7905147","7905147","C1orf54","chromosome 1 open reading frame 54",0.339332929645948,3.95507961654061,4.20644313166996,0.000573659336573671,0.13314345045489,-0.118305012653094
"8023415","8023415","TCF4","transcription factor 4",0.23039207017773,8.67656311612036,4.20208419623263,0.00057912858240751,0.13314345045489,-0.126565570042458
"7998902","7998902","HCFC1R1","host cell factor C1 regulator 1",0.265450387453487,6.79783061816305,4.19144601228301,0.000592698752340132,0.13314345045489,-0.146731225632604
"7946275","7946275","GVINP1","GTPase, very large interferon inducible pseudogene 1",0.308790526457939,4.25177465017022,4.18973314843365,0.000594913528537185,0.13314345045489,-0.149978823339061
"7918755","7918755","LOC105378913","uncharacterized LOC105378913",0.397727976951974,5.79486250505112,4.17079378048393,0.000619966965647496,0.13667958282954,-0.185900779473572
"7987475","7987475","PLCB2","phospholipase C beta 2",0.237210541959015,4.61441317901539,4.16087059023185,0.00063351622452046,0.136855686333145,-0.204731134176701
"8056545","8056545","STK39","serine/threonine kinase 39",0.276271001969156,5.69622785975888,4.15670257361663,0.000639296077245077,0.136855686333145,-0.21264226014398
