"","PROBEID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"7972750","7972750","COL4A1","collagen type IV alpha 1 chain",0.495178066991998,6.30676063188003,7.41511573640195,8.98957281660592e-08,0.00132784980074086,7.70943097571437
"8106393","8106393","F2R","coagulation factor II thrombin receptor",0.390909515081351,4.97609668378481,6.65508918462288,5.60008308883292e-07,0.00413594136525755,6.08572489240096
"7970033","7970033","COL4A2","collagen type IV alpha 2 chain",0.415551285898585,6.44825663653162,6.46141617804201,9.02521245776419e-07,0.00444371377378783,5.65832794069693
"7925062","7925062","SIPA1L2","signal induced proliferation associated 1 like 2",0.45834804417308,5.66765881700459,6.19860906042948,1.73612884129789e-06,0.00497795504119051,5.07020740715576
"8120833","8120833","SH3BGRL2","SH3 domain binding glutamate rich protein like 2",0.362938525031188,6.01204027225084,6.19750334062478,1.74094100943964e-06,0.00497795504119051,5.06771397202684
"7972157","7972157","EDNRB","endothelin receptor type B",0.556104527598317,5.84242590717504,5.98842842140432,2.94467689054386e-06,0.00497795504119051,4.59352990915642
"7957665","7957665","ELK3","ETS transcription factor ELK3",0.299851585458402,6.03043130726868,5.98760566987813,2.95079824042358e-06,0.00497795504119051,4.59165352615832
"7937039","7937039","EBF3","EBF transcription factor 3",0.296020744439211,6.49553403126254,5.88340693455572,3.84041797455691e-06,0.00497795504119051,4.35338743014506
"7975932","7975932","TMEM63C","transmembrane protein 63C",0.501020691153693,3.81174312242605,5.87993877510441,3.87431457750849e-06,0.00497795504119051,4.34543587935066
"7996264","7996264","CDH5","cadherin 5",0.313794610872434,7.64160413237458,5.86538923872307,4.01985487454681e-06,0.00497795504119051,4.31206322358808
"8115327","8115327","SPARC","secreted protein acidic and cysteine rich",0.417856770706239,10.207244033504,5.82128366731321,4.49582564599273e-06,0.00497795504119051,4.21075546140102
"8138504","8138504","RAPGEF5","Rap guanine nucleotide exchange factor 5",0.317273026925329,5.49972630496549,5.79267774614022,4.83469436359926e-06,0.00497795504119051,4.14493729133707
"7929653","7929653","ANKRD2","ankyrin repeat domain 2",-0.689405269540236,9.31133050146138,-5.78815442415569,4.89060039607175e-06,0.00497795504119051,4.13452180216849
"8017599","8017599","PECAM1","platelet and endothelial cell adhesion molecule 1",0.376935127363767,8.59135646668667,5.78791256453188,4.89360804311736e-06,0.00497795504119051,4.13396483060786
"8002020","8002020","TPPP3","tubulin polymerization promoting protein family member 3",-0.394008170457495,7.84983708809335,-5.77514024598837,5.05513002625805e-06,0.00497795504119051,4.10454307375558
"8156783","8156783","COL15A1","collagen type XV alpha 1 chain",0.502341785043466,7.40174726653335,5.74650973211998,5.43710459246808e-06,0.00499237794509985,4.03852914961813
"8120335","8120335","FAM83B","family with sequence similarity 83 member B",-0.509391761748157,5.94708629969642,-5.72482633126671,5.74574673797965e-06,0.00499237794509985,3.98847703110746
"8123584","8123584","MYLK4","myosin light chain kinase family member 4",0.744831100315334,6.14835302601942,5.69789018340116,6.1539972089523e-06,0.00503698146714829,3.92623340026825
"7936322","7936322","GPAM","glycerol-3-phosphate acyltransferase, mitochondrial",-0.29851636964225,7.01199431814336,-5.65849982930757,6.80451063160687e-06,0.00503698146714829,3.83508051829097
