"","PROBEID","ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"163259_at","163259_at","163259","DENND2C","DENN domain containing 2C",0.614607519666668,9.09127185441667,7.40225115468332,1.18437211864013e-06,0.0144115288317098,5.08811725643555
"56899_at","56899_at","56899","ANKS1B","ankyrin repeat and sterile alpha motif domain containing 1B",0.432799878749997,5.81424217404167,7.08371657513642,2.08259087163437e-06,0.0144115288317098,4.64007707791115
"2487_at","2487_at","2487","FRZB","frizzled related protein",0.973235378666666,7.4491504885,6.81783516991793,3.37109007663288e-06,0.0155519622201997,4.25271501350816
"23355_at","23355_at","23355","VPS8","VPS8 subunit of CORVET complex",-0.324137306666664,7.91439968283333,-6.23825893187613,9.95949143271417e-06,0.0331896918618327,3.36570234339713
"4502_at","4502_at","4502","MT2A","metallothionein 2A",0.484205973916669,9.39915497370833,6.07391345916785,1.36538468164121e-05,0.0331896918618327,3.10355948906182
"10286_at","10286_at","10286","BCAS2","BCAS2 pre-mRNA processing factor",0.396512241166667,8.4115793785,6.04679224219005,1.43885947377887e-05,0.0331896918618327,3.0598520639718
"3303_at","3303_at","3303","HSPA1A","heat shock protein family A (Hsp70) member 1A",-0.353428948750002,9.56069446279167,-5.65574227153788,3.09701414150975e-05,0.0559848303066138,2.41577970972338
"9037_at","9037_at","9037","SEMA5A","semaphorin 5A",0.284092618833333,5.67218196433333,5.63363394537622,3.2361173587638e-05,0.0559848303066138,2.37860344565169
"126326_at","126326_at","126326","GIPC3","GIPC PDZ domain containing family member 3",0.514382873833332,4.81576293258333,5.56649015535899,3.69947761082288e-05,0.0568897445930985,2.26520753733876
"7633_at","7633_at","7633","ZNF79","zinc finger protein 79",-0.25602239925,5.62257807245833,-5.36456546841382,5.55133376218227e-05,0.0678013376983553,1.91981550971562
"56104_at","56104_at","56104","PCDHGB1","protocadherin gamma subfamily B, 1",-0.332110144166665,6.43016203908333,-5.35791048954143,5.62656754710061e-05,0.0678013376983553,1.9083224640015
"56112_at","56112_at","56112","PCDHGA3","protocadherin gamma subfamily A, 3",-0.369186128916668,5.618663515375,-5.31236061476339,6.17049790989894e-05,0.0678013376983553,1.82947403755801
"1282_at","1282_at","1282","COL4A1","collagen type IV alpha 1 chain",0.684449771583333,6.23394982970833,5.29678912468353,6.36862276068366e-05,0.0678013376983553,1.80244579953333
"767606_at","767606_at","767606","SNORD114-26","small nucleolar RNA, C/D box 114-26",0.44874402175,4.91389000595833,5.21950442161691,7.45336814292268e-05,0.0730738686274305,1.6677514038721
