"","PROBEID","ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1282_at","1282_at","1282","COL4A1","collagen type IV alpha 1 chain",0.528187525749998,6.302323430475,7.40804865226798,1.03650042182154e-07,0.00143451658380101,7.58599777909363
"1284_at","1284_at","1284","COL4A2","collagen type IV alpha 2 chain",0.468608208249999,6.448233610125,6.91646510752301,3.30535495435331e-07,0.00228730562841249,6.55967524938298
"51673_at","51673_at","51673","TPPP3","tubulin polymerization promoting protein family member 3",-0.511559596849998,8.310793813225,-6.71475545727264,5.36622125862679e-07,0.00247561674064649,6.12784379700609
"83699_at","83699_at","83699","SH3BGRL2","SH3 domain binding glutamate rich protein like 2",0.3747648192,5.8034059053,6.48271748025775,9.42686185639154e-07,0.00273174760359012,5.62372255816214
"57568_at","57568_at","57568","SIPA1L2","signal induced proliferation associated 1 like 2",0.477584125100001,5.5564392565,6.45118242238571,1.01819631758625e-06,0.00273174760359012,5.55462029712229
"23500_at","23500_at","23500","DAAM2","dishevelled associated activator of morphogenesis 2",0.584198020800001,6.6179002766,6.38947442185039,1.18428364317491e-06,0.00273174760359012,5.41900219592423
"253738_at","253738_at","253738","EBF3","EBF transcription factor 3",0.3047367641,6.46046777215,6.23786906300239,1.71971946720555e-06,0.00340013106087498,5.08362096838621
"56104_at","56104_at","56104","PCDHGB1","protocadherin gamma subfamily B, 1",-0.300753760049999,6.019136518775,-6.01274599407708,3.00582502181611e-06,0.00520007728774188,4.58009886769147
"22795_at","22795_at","22795","NID2","nidogen 2",0.42712824585,6.299015289375,5.91145570546777,3.87071798434298e-06,0.00548339719181326,4.35151773202328
"6678_at","6678_at","6678","SPARC","secreted protein acidic and cysteine rich",0.4251983067,10.29394189165,5.822181430068,4.84103393165238e-06,0.00548339719181326,4.14906679295066
"1910_at","1910_at","1910","EDNRB","endothelin receptor type B",0.574238316700001,5.8124626721,5.80802551744403,5.01615872518491e-06,0.00548339719181326,4.11688265191047
"1003_at","1003_at","1003","CDH5","cadherin 5",0.321375081150003,7.649624525325,5.78278141800511,5.34456388757241e-06,0.00548339719181326,4.05943435020002
"23767_at","23767_at","23767","FLRT3","fibronectin leucine rich transmembrane protein 3",-0.500051583500001,6.0951669879,-5.72882833657473,6.12146876504539e-06,0.00548339719181326,3.93642179685621
"57678_at","57678_at","57678","GPAM","glycerol-3-phosphate acyltransferase, mitochondrial",-0.314954939599997,6.9750424809,-5.72004210420141,6.25842194041362e-06,0.00548339719181326,3.91635995798128
"2149_at","2149_at","2149","F2R","coagulation factor II thrombin receptor",0.3844702763,4.86136998285,5.71887931407539,6.27677783443756e-06,0.00548339719181326,3.91370432064251
"26287_at","26287_at","26287","ANKRD2","ankyrin repeat domain 2",-0.69322934855,9.375205298675,-5.71495146781878,6.33918750498643e-06,0.00548339719181326,3.90473266460235
"10117_at","10117_at","10117","ENAM","enamelin",-0.4445829853,5.99503926185,-5.64149661210389,7.6294286470651e-06,0.00589055677280628,3.73666013049861
"10946_at","10946_at","10946","SF3A3","splicing factor 3a subunit 3",0.406868527550002,8.488720589375,5.63427134111055,7.76992013431231e-06,0.00589055677280628,3.72009839627915
"9771_at","9771_at","9771","RAPGEF5","Rap guanine nucleotide exchange factor 5",0.317660160399999,5.59600902065,5.57194149158056,9.0960633275117e-06,0.00589055677280628,3.57701314608712
"340156_at","340156_at","340156","MYLK4","myosin light chain kinase family member 4",0.749725505150002,5.916217009775,5.55720342116524,9.44179953588118e-06,0.00589055677280628,3.54312547665695
"222584_at","222584_at","222584","FAM83B","family with sequence similarity 83 member B",-0.612973828349999,5.606262259375,-5.55689455714743,9.4491856398016e-06,0.00589055677280628,3.54241507674281
"7837_at","7837_at","7837","PXDN","peroxidasin",0.408860813649999,6.513962233175,5.54993498464647,9.61717430278908e-06,0.00589055677280628,3.5264053926735
"1306_at","1306_at","1306","COL15A1","collagen type XV alpha 1 chain",0.514177477449999,7.468756111025,5.53920482401619,9.8821181887459e-06,0.00589055677280628,3.50171301287553
"159195_at","159195_at","159195","USP54","ubiquitin specific peptidase 54",-0.337575279050002,9.081367654075,-5.51841123685692,1.04167548642885e-05,0.00589055677280628,3.45383211451514
"55790_at","55790_at","55790","CSGALNACT1","chondroitin sulfate N-acetylgalactosaminyltransferase 1",0.3823885848,4.9088318718,5.5100293505814,1.06404565982772e-05,0.00589055677280628,3.43452010365863
"22918_at","22918_at","22918","CD93","CD93 molecule",0.343145954,7.254696912,5.36752649208702,1.52818143964778e-05,0.00813462735566358,3.10524720773318
"2004_at","2004_at","2004","ELK3","ETS transcription factor ELK3",0.286978014550002,5.836107792025,5.26931353028837,1.96274083789814e-05,0.00951740109373596,2.87734896772747
"23024_at","23024_at","23024","PDZRN3","PDZ domain containing ring finger 3",0.277387877849996,8.643915178975,5.26429681431397,1.9880233767207e-05,0.00951740109373596,2.86568850659447
"3481_at","3481_at","3481","IGF2","insulin like growth factor 2",0.609788170500001,6.8804664927,5.25194113193587,2.05170195238641e-05,0.00951740109373596,2.83696221863904
"845_at","845_at","845","CASQ2","calsequestrin 2",-0.372464708950003,10.296133587125,-5.24978552746016,2.06302046829537e-05,0.00951740109373596,2.8319494409089
"25979_at","25979_at","25979","DHRS7B","dehydrogenase/reductase 7B",-0.23115977325,7.478796353675,-5.12695458541854,2.82375848489145e-05,0.0124674784796037,2.54579386067511
"56103_at","56103_at","56103","PCDHGB2","protocadherin gamma subfamily B, 2",-0.331752506699999,6.11017778915,-5.11888734476443,2.8826539837234e-05,0.0124674784796037,2.52696637342522
"65059_at","65059_at","65059","RAPH1","Ras association (RalGDS/AF-6) and pleckstrin homology domains 1",0.306881748000001,6.8246250557,5.05998188687103,3.35190698313081e-05,0.0140576947413729,2.38937795937638
