"","ID","Description","SPOT_ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"10946_at","10946_at","splicing factor 3a, subunit 3, 60kDa",10946,0.420522778081075,8.440777763704,8.43319968096499,1.4454095106438e-10,1.9208933486012e-06,13.7269826554817
"6678_at","6678_at","secreted protein, acidic, cysteine-rich (osteonectin)",6678,0.46034921472973,10.183735519208,8.31987923478431,2.07027858261515e-10,1.9208933486012e-06,13.3976464085363
"57156_at","57156_at","transmembrane protein 63C",57156,0.495175005702702,3.458570198952,8.21051194663805,2.93206474295492e-10,1.9208933486012e-06,13.0782575125707
"57568_at","57568_at","signal-induced proliferation-associated 1 like 2",57568,0.428852293864869,5.509769015288,7.90318586573724,7.8461718066011e-10,3.58800837739524e-06,12.1729961144713
"159195_at","159195_at","ubiquitin specific peptidase 54",159195,-0.345003758405397,9.197939043496,-7.84683547401679,9.40722348168832e-10,3.58800837739524e-06,12.00582019073
"1003_at","1003_at","cadherin 5, type 2 (vascular endothelium)",1003,0.309844805918915,7.548726019928,7.79964319055615,1.09535210462865e-09,3.58800837739524e-06,11.8655419970621
"1282_at","1282_at","collagen, type IV, alpha 1",1282,0.509677508081079,6.112505104224,7.68344958866326,1.59457046945202e-09,4.22992905304202e-06,11.5191292940261
"1284_at","1284_at","collagen, type IV, alpha 2",1284,0.439169787297295,6.265756731528,7.65974865213787,1.72175803522622e-09,4.22992905304202e-06,11.4482930704091
"1910_at","1910_at","endothelin receptor type B",1910,0.571240905702712,5.698476969656,7.29953007948736,5.55765430298718e-09,1.21366819634345e-05,10.3648596690112
"3910_at","3910_at","laminin, alpha 4",3910,0.403062534648646,6.660802657504,7.2499143778315,6.53599911177908e-09,1.28458526542906e-05,10.2146943158221
"1306_at","1306_at","collagen, type XV, alpha 1",1306,0.457895761567565,7.32833359972,7.21608425142541,7.30076730618241e-09,1.30444800577917e-05,10.1121855796925
"340156_at","340156_at","myosin light chain kinase family, member 4",340156,0.701175345081078,5.87939517504,7.17271878480693,8.41428383223708e-09,1.37811945365656e-05,9.98064581355723
"5168_at","5168_at","ectonucleotide pyrophosphatase/phosphodiesterase 2",5168,0.38874166329731,6.200063100904,7.10291656409352,1.05768212745663e-08,1.59905265638712e-05,9.76860083228453
"7837_at","7837_at","peroxidasin homolog (Drosophila)",7837,0.388226462891885,6.343358970608,6.97131601298938,1.62920145254745e-08,2.125623431846e-05,9.36782912786583
"9771_at","9771_at","Rap guanine nucleotide exchange factor (GEF) 5",9771,0.357762103351353,5.471365776352,6.95400431132019,1.72459063734148e-08,2.125623431846e-05,9.31501730668313
"22795_at","22795_at","nidogen 2 (osteonidogen)",22795,0.382763382702707,6.136267742776,6.95297510161173,1.73043527574723e-08,2.125623431846e-05,9.31187691462733
"2149_at","2149_at","coagulation factor II (thrombin) receptor",2149,0.366882888027025,4.736477734368,6.82019323319068,2.67859801517928e-08,3.0967744347255e-05,8.90614905288102
"22918_at","22918_at","CD93 molecule",22918,0.332129893810809,7.183604086776,6.75204223882615,3.35299093426616e-08,3.6610935456704e-05,8.69749338995009
"114327_at","114327_at","EF-hand domain (C-terminal) containing 1",114327,0.253073190351356,4.6519986374,6.67705827030559,4.2936556789429e-08,4.44144782704968e-05,8.46762596223392
"140576_at","140576_at","S100 calcium binding protein A16",140576,0.255851912108108,5.89710407312,6.51582555322797,7.31180188362824e-08,7.11511463818278e-05,7.9724594237895
"26287_at","26287_at","ankyrin repeat domain 2 (stretch responsive muscle)",26287,-0.778757503486469,9.448554127144,-6.50403035377535,7.60239174732056e-08,7.11511463818278e-05,7.93619281576845
"100033432_at","100033432_at","small nucleolar RNA, C/D box 116-21",100033432,-0.432647853540546,8.496106658344,-6.46005008776793,8.7917036870173e-08,7.68184433953232e-05,7.80092321597659
"9708_at","9708_at","protocadherin gamma subfamily A, 8",9708,-0.423520241081079,5.497131528072,-6.45331416120148,8.98964179348954e-08,7.68184433953232e-05,7.78019977724577
"124790_at","124790_at","hexamethylene bis-acetamide inducible 2",124790,0.324508510972972,6.356309757632,6.34793816308469,1.27366112818762e-07,0.000104302232555831,7.4558276632421
"168507_at","168507_at","polycystic kidney disease 1 like 1",168507,0.27540878059459,5.779725684632,6.32282496623271,1.38396372804672e-07,0.000106209926214868,7.37848022703409
"283431_at","283431_at","growth arrest-specific 2 like 3",283431,0.320839994837843,3.540539242176,6.31825604965774,1.40503616647328e-07,0.000106209926214868,7.36440665062012
"845_at","845_at","calsequestrin 2 (cardiac muscle)",845,-0.347347884405401,10.272642221624,-6.24887579555802,1.76748202061208e-07,0.000125480169147744,7.15064462366309
"57381_at","57381_at","ras homolog family member J",57381,0.284945482945943,7.16798057824,6.24136735616291,1.81193245748061e-07,0.000125480169147744,7.12750590243958
"125336_at","125336_at","lipoxygenase homology domains 1",125336,0.242004952837839,3.22188116572,6.23483824495471,1.85149328649871e-07,0.000125480169147744,7.10738447811677
"3563_at","3563_at","interleukin 3 receptor, alpha (low affinity)",3563,0.319911126675676,4.562754440608,6.18491642047042,2.18396026939167e-07,0.000142377647953379,6.95351660775755
"23024_at","23024_at","PDZ domain containing ring finger 3",23024,0.232618858540533,8.614898511232,6.17648896878962,2.245704226394e-07,0.000142377647953379,6.92753891600076
"55281_at","55281_at","transmembrane protein 140",55281,0.251438639513514,7.366831643144,6.11849820457249,2.72061412187995e-07,0.00016178215402526,6.74876662556033
"26074_at","26074_at","chromosome 20 open reading frame 26",26074,-0.582495393621612,7.148411609704,-6.11545574482227,2.74813362465241e-07,0.00016178215402526,6.73938687487008
"5019_at","5019_at","3-oxoacid CoA transferase 1",5019,-0.518062145837842,6.480588235192,-6.10907998418834,2.80670908170333e-07,0.00016178215402526,6.71973061118205
"677769_at","677769_at","small Cajal body-specific RNA 17",677769,-0.22011466829729,8.467618737664,-6.10117918528906,2.88102950589402e-07,0.00016178215402526,6.69537252023533
"3912_at","3912_at","laminin, beta 1",3912,0.356161303459457,7.188804867976,6.08427687824259,3.04669488577481e-07,0.000166332614680606,6.64326238017286
