"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"200883_at","200883_at","UQCRC2","7385","ubiquinol-cytochrome c reductase core protein 2",-492.366129557292,1738.66430664062,-47.3196624006528,2.19375574102812e-05,0.434539137182849,-4.59099910142358
"200955_at","200955_at","IMMT","10989","inner membrane mitochondrial protein",-310.983601888021,862.614115397135,-30.0875278203608,8.44361088444753e-05,0.599528145452343,-4.59100988261851
"203613_s_at","203613_s_at","NDUFB6","4712","NADH:ubiquinone oxidoreductase subunit B6",-279.084167480469,1211.66954549154,-29.3611107812406,9.080091055922e-05,0.599528145452343,-4.59101078728795
"208822_s_at","208822_s_at","DAP3","7818","death associated protein 3",-159.328058878581,407.633018493652,-22.4892708671979,0.000200492948507249,0.986450847679711,-4.59102411277198
"213366_x_at","213366_x_at","ATP5C1","509",NA,-1253.20572916667,4967.96516927083,-19.7274788106877,0.000295703895486448,0.986450847679711,-4.59103373150583
"204948_s_at","204948_s_at","FST","10468","follistatin",113.316421190898,73.8260372479757,16.8603838427343,0.000470723606478369,0.986450847679711,-4.59104905845441
"206393_at","206393_at","TNNI2","7136","troponin I2, fast skeletal type",2357.68619791667,8184.08626302083,15.4269237153893,0.000612036493808022,0.986450847679711,-4.59106006327834
"212179_at","212179_at","PNISR","25957","PNN interacting serine and arginine rich protein",164.944224039713,608.918502807617,15.0522577368754,0.000658099227319844,0.986450847679711,-4.59106346106985
"201330_at","201330_at","RARS","5917",NA,-120.386741638184,188.544701894124,-13.931246829716,0.000826768655608983,0.986450847679711,-4.59107528257679
"203746_s_at","203746_s_at","HCCS","3052","holocytochrome c synthase",-115.024058024089,358.049199422201,-13.3873499705942,0.000929614944446106,0.986450847679711,-4.59108209358331
"202887_s_at","202887_s_at","DDIT4","54541","DNA damage inducible transcript 4",150.306551615397,354.385939280192,13.3735841794294,0.000932433427334948,0.986450847679711,-4.59108227658845
"221246_x_at","221246_x_at","TNS1","7145","tensin 1",-131.703816731771,305.901926676432,-12.596314927682,0.0011119201446146,0.986450847679711,-4.59109357933261
"211959_at","211959_at","IGFBP5","3488","insulin like growth factor binding protein 5",540.48740641276,1571.92235310872,12.3970113752482,0.00116524240158629,0.986450847679711,-4.59109681658603
"205711_x_at","205711_x_at","ATP5C1","509",NA,-1108.13826497396,4372.13952636719,-12.3548789723505,0.0011769480089317,0.986450847679711,-4.59109752055865
"218974_at","218974_at","SOBP","55084","sine oculis binding protein homolog",122.119710286458,571.936238606771,12.3240971932882,0.00118559914811996,0.986450847679711,-4.59109803933191
"209656_s_at","209656_s_at","TMEM47","83604","transmembrane protein 47",160.913004557292,662.746520996094,12.247394056462,0.0012075275034464,0.986450847679711,-4.59109934864682
"211755_s_at","211755_s_at","ATP5F1","515",NA,-1121.82250976563,3539.2197672526,-12.2071765500958,0.00121924097734161,0.986450847679711,-4.59110004478155
"47608_at","47608_at","TJAP1","93643","tight junction associated protein 1",81.650390625,251.42876180013,12.0810946424247,0.00125695681006382,0.986450847679711,-4.59110227120319
"219260_s_at","219260_s_at","ELP5","23587","elongator acetyltransferase complex subunit 5",-83.3318328857422,199.929629007975,-11.8839436169292,0.00131910488384101,0.986450847679711,-4.5911058917517
"218970_s_at","218970_s_at","CUTC","51076","cutC copper transporter",-348.842569986979,1754.98699951172,-11.7554892830452,0.00136181122984273,0.986450847679711,-4.59110834660459
"205132_at","205132_at","ACTC1","70","actin alpha cardiac muscle 1",526.875935872396,924.751118977865,11.6651167712157,0.00139296440487058,0.986450847679711,-4.59111012110763
"203039_s_at","203039_s_at","NDUFS1","4719","NADH:ubiquinone oxidoreductase core subunit S1",-464.2734375,1244.82592773438,-11.6158169727871,0.0014103591742369,0.986450847679711,-4.5911111061333
"201241_at","201241_at","DDX1","1653","DEAD-box helicase 1",-726.991861979166,1934.66288248698,-11.5960953604824,0.0014173985498739,0.986450847679711,-4.59111150359808
"202724_s_at","202724_s_at","FOXO1","2308","forkhead box O1",119.917561848958,278.042999267578,11.3547535848228,0.00150745286238389,0.986450847679711,-4.59111653146261
"201441_at","201441_at","COX6B1","1340","cytochrome c oxidase subunit 6B1",-680.425944010418,4346.8017578125,-11.2298661897241,0.00155705165848521,0.986450847679711,-4.59111925750879
"221227_x_at","221227_x_at","COQ3","51805","coenzyme Q3, methyltransferase",-120.740910847982,413.42608388265,-11.191196486783,0.00157284830371365,0.986450847679711,-4.59112011957756
"202294_at","202294_at","STAG1","10274","stromal antigen 1",87.4293772379558,200.39700571696,11.1138818410263,0.0016050758769032,0.986450847679711,-4.59112186937318
"217719_at","217719_at","EIF3L","51386","eukaryotic translation initiation factor 3 subunit L",-340.501057942708,3401.75565592448,-10.9023995157347,0.00169783357155423,0.986450847679711,-4.59112684108795
"212328_at","212328_at","LIMCH1","22998","LIM and calponin homology domains 1",388.378234863281,868.247344970703,10.8961620498276,0.00170067624594673,0.986450847679711,-4.59112699198999
"221449_s_at","221449_s_at","ITFG1","81533","integrin alpha FG-GAP repeat containing 1",109.800257364909,312.861946105957,10.6328307422133,0.00182668722041816,0.986450847679711,-4.59113359870505
"201682_at","201682_at","PMPCB","9512","peptidase, mitochondrial processing subunit beta",-81.0026550292969,393.100875854492,-10.4314246991825,0.00193156133263551,0.986450847679711,-4.59113898101216
"212293_at","212293_at","HIPK1","204851","homeodomain interacting protein kinase 1",-97.8109995524089,275.50247446696,-10.3773326981236,0.00196108414286855,0.986450847679711,-4.59114047827733
"218682_s_at","218682_s_at","SLC4A1AP","22950","solute carrier family 4 member 1 adaptor protein",-73.7548573811849,288.470156351725,-10.2934683319836,0.00200805269674888,0.986450847679711,-4.59114284477037
"218139_s_at","218139_s_at","AP5M1","55745","adaptor related protein complex 5 subunit mu 1",-100.168151855469,352.276499430339,-10.0844533833693,0.00213179640236627,0.986450847679711,-4.59114899207263
"212086_x_at","212086_x_at","LMNA","4000","lamin A/C",72.1338195800781,212.021840413411,10.0103336121585,0.00217810544651802,0.986450847679711,-4.59115126146121
"205357_s_at","205357_s_at","AGTR1","185","angiotensin II receptor type 1",81.9014485677083,218.95068359375,10.010200190843,0.0021781900047358,0.986450847679711,-4.59115126559004
"209240_at","209240_at","OGT","8473","O-linked N-acetylglucosamine (GlcNAc) transferase",261.620381673177,972.392100016276,9.98450741997811,0.00219455482625399,0.986450847679711,-4.59115206364152
"208904_s_at","208904_s_at","RPS28","6234","ribosomal protein S28",-885.335774739584,6705.18286132812,-9.93577173845862,0.00222604786113128,0.986450847679711,-4.59115359381529
"212213_x_at","212213_x_at","OPA1","4976","OPA1 mitochondrial dynamin like GTPase",-208.321166992188,629.360911051432,-9.83613683538694,0.00229232332103525,0.986450847679711,-4.59115679034576
"203067_at","203067_at","PDHX","8050","pyruvate dehydrogenase complex component X",-296.064636230469,947.519724527995,-9.80847241774194,0.00231118880022938,0.986450847679711,-4.59115769451802
"218025_s_at","218025_s_at","ECI2","10455","enoyl-CoA delta isomerase 2",-256.140563964844,1223.4182434082,-9.58588612250215,0.00247074558933239,0.986450847679711,-4.591165244702
"202336_s_at","202336_s_at","PAM","5066","peptidylglycine alpha-amidating monooxygenase",-348.852783203125,1517.30558268229,-9.55972251935316,0.00249045019243883,0.986450847679711,-4.59116616552037
"209080_x_at","209080_x_at","GLRX3","10539","glutaredoxin 3",-144.728688557943,400.225245157878,-9.41079824439927,0.00260667445509024,0.986450847679711,-4.59117154760604
"205898_at","205898_at","CX3CR1","1524","C-X3-C motif chemokine receptor 1",89.534907023112,205.65845489502,9.39872529142577,0.00261640919143129,0.986450847679711,-4.59117199467584
"214234_s_at","214234_s_at","CYP3A5","1577","cytochrome P450 family 3 subfamily A member 5",-77.2789253393809,56.6386363903681,-9.39455648246579,0.00261978180998941,0.986450847679711,-4.59117214943273
"203972_s_at","203972_s_at","PEX3","8504","peroxisomal biogenesis factor 3",-59.4758631388346,168.084313710531,-9.29816505709795,0.00269939810170021,0.986450847679711,-4.5911757834002
"220127_s_at","220127_s_at","FBXL12","54850","F-box and leucine rich repeat protein 12",63.9422200520832,359.728179931641,9.20896553668048,0.00277595788630358,0.986450847679711,-4.59117924378482
"212151_at","212151_at","PBX1","5087","PBX homeobox 1",162.467458089193,562.86750793457,9.10194187008085,0.00287166356491916,0.986450847679711,-4.59118352441264
"213629_x_at","213629_x_at","MT1F","4494","metallothionein 1F",73.897710164388,204.472262064616,9.07024270977881,0.0029008485503809,0.986450847679711,-4.59118482010392
"220081_x_at","220081_x_at","HSD17B7","51478","hydroxysteroid 17-beta dehydrogenase 7",58.1444091796874,149.053415934245,9.03980496371126,0.00292924340455166,0.986450847679711,-4.59118607648202
"202088_at","202088_at","SLC39A6","25800","solute carrier family 39 member 6",-58.6163889567056,295.951698303223,-8.99046812735659,0.00297605673747648,0.986450847679711,-4.59118813884
"203195_s_at","203195_s_at","NUP98","4928","nucleoporin 98 and 96 precursor",88.2056783040365,113.084630330404,8.9492181926345,0.00301596093127223,0.986450847679711,-4.5911898881433
"212673_at","212673_at","METAP1","23173","methionyl aminopeptidase 1",-68.6918741861979,398.632537841797,-8.93088098990436,0.00303392768646029,0.986450847679711,-4.59119067319622
"209513_s_at","209513_s_at","HSDL2","84263","hydroxysteroid dehydrogenase like 2",-270.091552734375,1107.32055664062,-8.91485570335442,0.00304974557873777,0.986450847679711,-4.59119136305027
"209581_at","209581_at","PLA2G16","11145",NA,-69.0897827148437,470.175974527995,-8.8762731746524,0.00308827976940699,0.986450847679711,-4.59119303855264
