"","PROBEID","ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"163259_at","163259_at","163259","DENND2C","DENN domain containing 2C",0.614607519666668,9.08140781537037,7.4021035248511,1.18421217257976e-06,0.0144252857656163,5.08731584000905
"56899_at","56899_at","56899","ANKS1B","ankyrin repeat and sterile alpha motif domain containing 1B",0.432799878750001,5.79957808325926,7.08326253832723,2.08352506183524e-06,0.0144252857656163,4.63889615523822
"2487_at","2487_at","2487","FRZB","frizzled related protein",0.973235378666669,7.50906136759259,6.81793444249334,3.3693229737506e-06,0.0155516717391748,4.25238755451102
"23355_at","23355_at","23355","VPS8","VPS8 subunit of CORVET complex",-0.324137306666668,7.903294472,-6.23762923998774,9.9685538491428e-06,0.0332172842026713,3.36435009690764
"4502_at","4502_at","4502","MT2A","metallothionein 2A",0.484205973916666,9.440153629,6.07376546766536,1.36539495714438e-05,0.0332172842026713,3.10299678066658
"10286_at","10286_at","10286","BCAS2","BCAS2 pre-mRNA processing factor",0.396512241166667,8.40018632722222,6.04648144243663,1.43932768986804e-05,0.0332172842026713,3.05903122083094
"3303_at","3303_at","3303","HSPA1A","heat shock protein family A (Hsp70) member 1A",-0.353428948750002,9.56048037696296,-5.65540376035658,3.0983452934368e-05,0.0560681931081429,2.41496650119363
"9037_at","9037_at","9037","SEMA5A","semaphorin 5A",0.284092618833331,5.66200666333333,5.63301903814299,3.23929764472552e-05,0.0560681931081429,2.37732789492711
"126326_at","126326_at","126326","GIPC3","GIPC PDZ domain containing family member 3",0.514382873833335,4.805090016,5.56643505928027,3.69901526315981e-05,0.0569114048321933,2.26488616840899
"7633_at","7633_at","7633","ZNF79","zinc finger protein 79",-0.256022399250001,5.6132690332963,-5.36389161434136,5.55769191238922e-05,0.0678134273674326,1.91846120791736
"56104_at","56104_at","56104","PCDHGB1","protocadherin gamma subfamily B, 1",-0.33211014416667,6.38642049248148,-5.35758173151623,5.62908625762077e-05,0.0678134273674326,1.90756478863179
"56112_at","56112_at","56112","PCDHGA3","protocadherin gamma subfamily A, 3",-0.369186128916668,5.56704925737037,-5.3121362698589,6.17198698089032e-05,0.0678134273674326,1.82890337122579
"1282_at","1282_at","1282","COL4A1","collagen type IV alpha 1 chain",0.684449771583332,6.23702858096296,5.29684565755553,6.36653828104733e-05,0.0678134273674326,1.80236522353572
"767606_at","767606_at","767606","SNORD114-26","small nucleolar RNA, C/D box 114-26",0.44874402175,4.88725709655556,5.21941864861579,7.4531352163926e-05,0.0730930745361283,1.667436512838
"1284_at","1284_at","1284","COL4A2","collagen type IV alpha 2 chain",0.582702859666668,6.36501233522222,5.18978567062727,7.91793253442569e-05,0.0730930745361283,1.6155570401297
