"","PROBEID","ACCNUM","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"221057_at","221057_at","NM_022354","SPATA1","100505741","spermatogenesis associated 1",-3.6614230476138,2.05855833947907,-9.67386472007522,0.000220484229958536,0.99447233823876,-4.42517523689074
"222283_at","222283_at","BG387770","ZNF480","147657","zinc finger protein 480",2.6326542348709,3.91641764705583,9.33026518893576,0.000261297258829665,0.99447233823876,-4.42597374977227
"204948_s_at","204948_s_at","NM_013409","FST","10468","follistatin",3.00301279955172,5.52356098718207,9.09254257197133,0.000294865976659799,0.99447233823876,-4.42657587213947
"216468_s_at","216468_s_at","AC006539","ZNF682","91120","zinc finger protein 682",2.57112669591731,3.81779003873361,7.835250113142,0.000588274254694925,0.99447233823876,-4.43063135605022
"216066_at","216066_at","AK024328","ABCA1","19","ATP binding cassette subfamily A member 1",-2.46198745491557,4.65832635108851,-7.72161053933144,0.000629140621420491,0.99447233823876,-4.43108819462799
"209364_at","209364_at","U66879","BAD","572","BCL2 associated agonist of cell death",2.40326036910041,5.86308068048591,7.58157700150435,0.000684239929017933,0.99447233823876,-4.43167656507875
"219879_s_at","219879_s_at","NM_024032","C17orf53","78995",NA,2.11813724147436,4.89132416000749,7.56388476622564,0.000691602323271054,0.99447233823876,-4.43175298175607
"209811_at","209811_at","BC002427","CASP2","835","caspase 2",2.20779084459044,4.82840506315368,7.19854373230866,0.000866952606150778,0.99447233823876,-4.43344404054548
"206631_at","206631_at","NM_000956","PTGER2","5732","prostaglandin E receptor 2",2.48218172646789,3.50546805019568,7.16039823577858,0.000888150616197851,0.99447233823876,-4.43363387870826
"215897_at","215897_at","AF283769","MED25","81857","mediator complex subunit 25",2.29022084101331,3.33877960645004,7.09381388226763,0.000926646384002838,0.99447233823876,-4.43397171538673
"216665_s_at","216665_s_at","AL133618","LOC101929148","101929148","uncharacterized LOC101929148",-2.2783477243588,3.96305930255569,-7.018275590912,0.000972742950985797,0.99447233823876,-4.43436522799436
"206518_s_at","206518_s_at","NM_003835","RGS9","8787","regulator of G protein signaling 9",-2.06607553831642,3.84183519795321,-6.84343578520096,0.00109029523489204,0.99447233823876,-4.43532000159757
"215889_at","215889_at","X15217","SKIL","6498","SKI like proto-oncogene",2.11783356445508,3.53941874156646,6.72431639693775,0.00118008248553856,0.99447233823876,-4.43600781750421
"221295_at","221295_at","NM_001279","CIDEA","1149","cell death inducing DFFA like effector a",-2.03616090584687,4.63209101618094,-6.72164120423886,0.00118219748384253,0.99447233823876,-4.4360236288689
"214013_s_at","214013_s_at","BE675153","TBC1D1","23216","TBC1 domain family member 1",2.00775828149217,3.88434398666574,6.7122657973464,0.00118964519616197,0.99447233823876,-4.43607917001082
"210687_at","210687_at","BC000185","CPT1A","1374","carnitine palmitoyltransferase 1A",1.96496785788159,4.43591455220523,6.68286930545327,0.00121336059789306,0.99447233823876,-4.43625462966331
"213953_at","213953_at","AI732381","KRT20","54474","keratin 20",-2.34683514591811,4.05171481485983,-6.56362409653934,0.00131549108224563,0.99447233823876,-4.43698730060838
"219475_at","219475_at","NM_013370","OSGIN1","29948","oxidative stress induced growth inhibitor 1",1.86549569385499,4.84508113393167,6.54169772196624,0.00133536188856977,0.99447233823876,-4.43712578116613
"214228_x_at","214228_x_at","AJ277151","TNFRSF4","7293","TNF receptor superfamily member 4",1.86370707839688,4.7221232565753,6.44833538000254,0.00142405264671107,0.99447233823876,-4.43772902498412
"213083_at","213083_at","AJ005866","SLC35D2","11046","solute carrier family 35 member D2",2.00864189528879,5.03634602174261,6.25045559541847,0.00163617364622142,0.99447233823876,-4.43908435106176
"221869_at","221869_at","AL118506","ZNF512B","57473","zinc finger protein 512B",1.99771617041333,4.06810303741999,6.21085976078736,0.00168299235158481,0.99447233823876,-4.43936879886405
"210416_s_at","210416_s_at","BC004207","CHEK2","11200","checkpoint kinase 2",2.11017576445049,4.88504781231765,6.19671439042219,0.0017001008524254,0.99447233823876,-4.43947153375688
"221017_s_at","221017_s_at","NM_030891","LRRC3","81543","leucine rich repeat containing 3",-2.75538636015218,3.68678558591293,-6.09555073862812,0.00182863392013975,0.99447233823876,-4.44022388033647
"201691_s_at","201691_s_at","NM_005079","TPD52","7163","tumor protein D52",-1.86096808061579,2.79129126581878,-6.07466227587969,0.00185658516664758,0.99447233823876,-4.44038316826475
