"","PROBEID","ACCNUM","ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GI_6453817-S","GI_6453817-S","NM_007317","3835","KIF22","kinesin family member 22",-0.742897760569406,9.85613014853064,-12.9208274246234,8.33752014230218e-10,1.68592994797492e-05,12.1306540441943
"GI_5453965-S","GI_5453965-S","NM_006252","5563","PRKAA2","protein kinase AMP-activated catalytic subunit alpha 2",0.66029540597869,7.19197604379931,10.2551209548154,2.20979030821931e-08,0.000223420849112513,9.34890779238904
"GI_17999530-S","GI_17999530-S","NM_001863","1340","COX6B1","cytochrome c oxidase subunit 6B1",-0.637212769731061,12.7906495857774,-9.37721694385147,7.51472858905134e-08,0.000340663813976353,8.25912754204165
"GI_38569472-S","GI_38569472-S","NM_004545","4707","NDUFB1","NADH:ubiquinone oxidoreductase subunit B1",-0.480945185117024,12.3106352474486,-9.27206892268705,8.74934257176344e-08,0.000340663813976353,8.1220436245078
"GI_27754207-S","GI_27754207-S","NM_173702",NA,NA,NA,-0.559123116322597,13.6437660718898,-9.18500413220044,9.93298877241713e-08,0.000340663813976353,8.00743449468454
"GI_41282018-I","GI_41282018-I","NM_198060","4892","NRAP","nebulin related anchoring protein",0.490432377441453,6.60245242148252,8.99617962286565,1.31178881175075e-07,0.000340663813976353,7.75540308354767
"GI_6912695-S","GI_6912695-S","NM_012249","23433","RHOQ","ras homolog family member Q",0.63722955606567,7.43879294165951,8.99467635491199,1.31471790076572e-07,0.000340663813976353,7.75337738966711
"GI_34147449-S","GI_34147449-S","NM_032906","100996939","PYURF","PIGY upstream reading frame",0.431065840393444,10.6492946438899,8.97795726378414,1.34776248049593e-07,0.000340663813976353,7.73082736167129
"GI_5031644-S","GI_5031644-S","NM_005694","10063","COX17","cytochrome c oxidase copper chaperone COX17",-0.495799798532719,11.9243214926728,-8.86959361756714,1.5842627945292e-07,0.000355948644090833,7.58375057292628
"GI_34878696-A","GI_34878696-A","NM_019081","9665","MARF1","meiosis regulator and mRNA stability factor 1",0.407500467010182,9.0772868481028,8.78573929962658,1.79707575703569e-07,0.000363386688830187,7.46883761758745
"GI_41281459-S","GI_41281459-S","NM_014716","9744","ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1",-0.434772381689908,7.97426331357167,-8.70709895424236,2.02407641066831e-07,0.000372080446364762,7.36018931352367
"GI_4809285-A","GI_4809285-A","NM_004030","3665","IRF7","interferon regulatory factor 7",-0.453581396226607,7.82108560092852,-8.54260890664068,2.60203140130598e-07,0.000401057486443903,7.130149694456
"GI_30089957-S","GI_30089957-S","NM_033281","92259","MRPS36","mitochondrial ribosomal protein S36",-0.505459365609656,11.2648862283056,-8.50184721602174,2.77052405136324e-07,0.000401057486443903,7.07255743117529
"GI_38570041-S","GI_38570041-S","NM_003277","7122","CLDN5","claudin 5",-0.490063116877257,9.60203481255515,-8.4426894041515,3.03573658314017e-07,0.000401057486443903,6.98855541766886
"GI_20070361-S","GI_20070361-S","NM_004657","8436","CAVIN2","caveolae associated protein 2",0.505954236895385,7.7065326475622,8.41175576148396,3.18491386505068e-07,0.000401057486443903,6.94443301350969
"GI_17738314-S","GI_17738314-S","NM_006835","10983","CCNI","cyclin I",0.469926848583675,10.89700396104,8.37878295896955,3.35243473016928e-07,0.000401057486443903,6.89725203433201
"GI_9966771-S","GI_9966771-S","NM_000888","3694","ITGB6","integrin subunit beta 6",0.616109830392275,6.97697768691659,8.37509652969075,3.37173100714423e-07,0.000401057486443903,6.89196746247797
"GI_7110678-S","GI_7110678-S","NM_012382","23548","TTC33","tetratricopeptide repeat domain 33",0.421043663100885,7.93226452837685,8.28047134960555,3.90914108512036e-07,0.000439148566012326,6.75565450348473
"GI_21735583-A","GI_21735583-A","NM_145322","26031","OSBPL3","oxysterol binding protein like 3",0.422631966769556,6.48155145404169,8.24397049995308,4.13985114201299e-07,0.000440589104961288,6.70272915700715
