"","PROBEID","ACCNUM","ENTREZID","SYMBOL","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GI_13376734-S","GI_13376734-S","NM_025146","80218","NAA50","N-alpha-acetyltransferase 50, NatE catalytic subunit",0.934347835925907,7.95273924948941,10.6933255896523,2.66489735789798e-07,0.00219378572074528,7.12640737179665
"GI_24431959-S","GI_24431959-S","NM_007034","11080","DNAJB4","DnaJ heat shock protein family (Hsp40) member B4",0.924526698707227,9.74088017445874,10.3893143491233,3.6021471321153e-07,0.00219378572074528,6.86796891240608
"GI_34222313-S","GI_34222313-S","NM_014502","27339","PRPF19","pre-mRNA processing factor 19",-0.639710535312505,8.8301146103099,-9.91376344605467,5.85797874088838e-07,0.00219378572074528,6.44548071727925
"GI_20302148-S","GI_20302148-S","NM_006330","10434","LYPLA1","lysophospholipase 1",0.623644000144856,7.86392639165633,9.87695626136985,6.08743597077251e-07,0.00219378572074528,6.41181975351982
"GI_31543214-S","GI_31543214-S","NM_005953","4502","MT2A","metallothionein 2A",-1.10446937493746,10.8422574830079,-9.70858715234156,7.26791062020204e-07,0.00219378572074528,6.25602955428475
"GI_7656882-S","GI_7656882-S","NM_014476","27295","PDLIM3","PDZ and LIM domain 3",0.602144494657134,13.4421956920124,9.69038735537081,7.40959057566638e-07,0.00219378572074528,6.23900951954885
"GI_38261966-S","GI_38261966-S","NM_080928","142685","ASB15","ankyrin repeat and SOCS box containing 15",0.667386569262259,6.92146649124197,9.65045240930112,7.73101395005557e-07,0.00219378572074528,6.20153901302645
"GI_17999530-S","GI_17999530-S","NM_001863","1340","COX6B1","cytochrome c oxidase subunit 6B1",-0.579997498945939,12.7289768850975,-9.53782783028174,8.72122265391021e-07,0.00219378572074528,6.09493817430212
"GI_34222128-S","GI_34222128-S","NM_006751","6744","ITPRID2","ITPR interacting domain containing 2",0.731971944501365,6.8741810122874,9.41687962252933,9.93885366232976e-07,0.00219378572074528,5.97891738000117
"GI_27479422-S","GI_27479422-S","XM_058661",NA,NA,NA,0.719374975173193,7.62779431692485,9.3364685053317,1.08490466383724e-06,0.00219378572074528,5.90088658137864
"GI_6912695-S","GI_6912695-S","NM_012249","23433","RHOQ","ras homolog family member Q",0.975918548307819,7.61264426825862,9.09409781638059,1.41798925175964e-06,0.00224016887455803,5.66127935092275
"GI_39930603-S","GI_39930603-S","NM_006939","6655","SOS2","SOS Ras/Rho guanine nucleotide exchange factor 2",0.703355244070072,6.95769986270558,9.09028500793226,1.42403745630518e-06,0.00224016887455803,5.65745634172707
"GI_19743844-I","GI_19743844-I","NM_001920","1634","DCN","decorin",0.650049519642135,10.3100608242055,9.06950143939351,1.45749815825497e-06,0.00224016887455803,5.63658760233596
"GI_9966771-S","GI_9966771-S","NM_000888","3694","ITGB6","integrin subunit beta 6",0.849527976773768,7.14728875833469,9.01348776784484,1.55196476894772e-06,0.00224016887455803,5.58009472860679
"GI_6453817-S","GI_6453817-S","NM_007317","3835","KIF22","kinesin family member 22",-0.834854568559901,9.98705459984905,-8.8311052442442,1.90810450721456e-06,0.00224016887455803,5.39360045373724
"GI_8922460-S","GI_8922460-S","NM_018112","55151","TMEM38B","transmembrane protein 38B",0.68722896990546,9.83885779947343,8.78061997121285,2.02156900244927e-06,0.00224016887455803,5.34127862218934
"GI_42656948-S","GI_42656948-S","XM_379274",NA,NA,NA,-0.865980897483272,9.22824736743086,-8.78011817189947,2.02273257555744e-06,0.00224016887455803,5.34075703346768
"GI_5174774-S","GI_5174774-S","NM_001645","341","APOC1","apolipoprotein C1",-0.844024525823774,8.15071388006479,-8.75717541488762,2.07670946203124e-06,0.00224016887455803,5.31687711644997
"GI_31543930-S","GI_31543930-S","NM_006634","10791","VAMP5","vesicle associated membrane protein 5",-0.552371015475394,10.7494964017957,-8.71471975500064,2.18072430965412e-06,0.00224016887455803,5.27251968862448
"GI_10864040-A","GI_10864040-A","NM_021230","58508","KMT2C","lysine methyltransferase 2C",0.546437114624776,6.57867373932229,8.70093700707941,2.21568554923894e-06,0.00224016887455803,5.25807262332249
"GI_34304320-A","GI_34304320-A","NM_031901","54460","MRPS21","mitochondrial ribosomal protein S21",-0.621593663336771,10.1263488085932,-8.61818580553017,2.43868091565119e-06,0.0022988730644155,5.17084640620063
"GI_32454743-S","GI_32454743-S","NM_014574","29966","STRN3","striatin 3",0.634189892178918,9.22608774700612,8.59646816458424,2.50112296212556e-06,0.0022988730644155,5.14781547001216
