"","PROBEID","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"201152_s_at","201152_s_at","MBNL1","4154","muscleblind like splicing regulator 1",-240.339396229167,1493.56931555729,-27.2616931837321,0.000107374218113254,0.887537653449017,-4.59503998203844
"214844_s_at","214844_s_at","DOK5","55816","docking protein 5",-199.59944674349,722.221862728516,-24.1062998785672,0.00015515883722937,0.887537653449017,-4.59504010159325
"211956_s_at","211956_s_at","EIF1","10209","eukaryotic translation initiation factor 1",-1233.38639313542,6785.74625655729,-18.9932896860692,0.000316307119523362,0.887537653449017,-4.59504043504003
"208974_x_at","208974_x_at","KPNB1","3837","karyopherin subunit beta 1",-174.867991179037,590.15060930957,-15.1760592774904,0.000617095885213426,0.887537653449017,-4.59504092914192
"205711_x_at","205711_x_at","ATP5C1","509",NA,-391.120035880208,4435.18640133073,-15.0160557968472,0.000636846671911273,0.887537653449017,-4.59504095827571
"200863_s_at","200863_s_at","RAB11A","8766","RAB11A, member RAS oncogene family",-124.544677772135,532.267812074219,-13.5097632217091,0.000871591963763138,0.887537653449017,-4.5950412841741
"204031_s_at","204031_s_at","PCBP2","5094","poly(rC) binding protein 2",-349.311309676432,719.850346952148,-12.8543830606898,0.0010099457225537,0.887537653449017,-4.59504146215537
"217716_s_at","217716_s_at","SEC61A1","29927","SEC61 translocon subunit alpha 1",-120.869432702393,89.9468652731527,-12.7430426834757,0.00103629280106566,0.887537653449017,-4.5950414950856
"212447_at","212447_at","KBTBD2","25948","kelch repeat and BTB domain containing 2",-274.769002152344,781.339294496745,-12.0223122595628,0.00123100533422101,0.887537653449017,-4.59504173025488
"208745_at","208745_at","ATP5L","10632",NA,-191.376434292318,792.849950171549,-11.432739411502,0.00142800158686038,0.887537653449017,-4.59504195561411
"209442_x_at","209442_x_at","ANK3","288","ankyrin 3",124.527170946614,289.480738386719,11.0807950453423,0.00156588373713585,0.887537653449017,-4.59504210707126
"216515_x_at","216515_x_at","MIR1244-3","100422872","microRNA 1244-3",-103.558347009603,158.225521115967,-10.8480547973287,0.00166689962075326,0.887537653449017,-4.5950422151593
"201215_at","201215_at","PLS3","5358","plastin 3",-120.125986841797,510.19646702832,-10.6963114106372,0.00173745580172693,0.887537653449017,-4.59504228933288
"201199_s_at","201199_s_at","PSMD1","5707","proteasome 26S subunit, non-ATPase 1",-111.423136305989,769.379943891276,-10.4762471128889,0.00184698931420897,0.887537653449017,-4.59504240247929
"201210_at","201210_at","DDX3X","1654","DEAD-box helicase 3 X-linked",-333.417531309245,841.502558401367,-10.3465240678273,0.00191587310261583,0.887537653449017,-4.59504247246179
"219428_s_at","219428_s_at","PXMP4","11264","peroxisomal membrane protein 4",100.656814716471,291.812197437988,10.1741456562426,0.00201277720564125,0.887537653449017,-4.59504256947413
"205883_at","205883_at","ZBTB16","7704","zinc finger and BTB domain containing 16",-279.78957127474,911.338979011068,-10.063256213013,0.00207857082178994,0.887537653449017,-4.59504263443223
"218428_s_at","218428_s_at","REV1","51455","REV1 DNA directed polymerase",-94.5224560172526,311.042482928874,-9.88058892428281,0.00219330679856344,0.887537653449017,-4.59504274605437
"215852_x_at","215852_x_at","SOGA1","140710","suppressor of glucose, autophagy associated 1",81.7877093938802,135.005655844401,9.75900537401141,0.00227436296944179,0.887537653449017,-4.59504282370812
"208827_at","208827_at","PSMB6","5694","proteasome 20S subunit beta 6",-84.020925014323,649.471898332682,-9.68788966071864,0.00232361960413845,0.887537653449017,-4.59504287043402
"200849_s_at","200849_s_at","AHCYL1","10768","adenosylhomocysteinase like 1",-214.290405425781,318.183074875,-9.64375147245155,0.00235490330751761,0.887537653449017,-4.59504289993423
"222230_s_at","222230_s_at","ACTR10","55860","actin related protein 10",-234.9994100625,723.570668503906,-9.46900389223464,0.00248438156958002,0.887537653449017,-4.59504302063128
"212407_at","212407_at","METTL13","51603",NA,77.5888952983399,155.535315263916,9.40750057607996,0.00253219119218845,0.887537653449017,-4.59504306464978
"202920_at","202920_at","ANK2","287","ankyrin 2",-178.504252198568,527.309173542643,-9.23298601886098,0.00267465580731813,0.887537653449017,-4.59504319415881
"203430_at","203430_at","HEBP2","23593","heme binding protein 2",-245.038838675782,1247.88056438607,-9.23255069157473,0.00267502428952301,0.887537653449017,-4.59504319449067
"214879_x_at","214879_x_at","USF2","7392","upstream transcription factor 2, c-fos interacting",-106.745394396647,162.509037013916,-9.15089209767374,0.00274534959235922,0.887537653449017,-4.59504325754154
"201115_at","201115_at","POLD2","5425","DNA polymerase delta 2, accessory subunit",-81.1265816920573,266.40222429069,-9.06926913438227,0.00281811048414367,0.887537653449017,-4.59504332219459
"213011_s_at","213011_s_at","TPI1","7167","triosephosphate isomerase 1",-1010.58040364062,2730.25162760677,-9.03847322139645,0.00284622554667504,0.887537653449017,-4.59504334702262
"212462_at","212462_at","KAT6B","23522","lysine acetyltransferase 6B",-86.4346999991863,192.692134863688,-8.92982126685766,0.00294843520612902,0.887537653449017,-4.59504343658115
"200982_s_at","200982_s_at","ANXA6","309","annexin A6",-71.9830628518879,268.211049343913,-8.89331807065599,0.0029838622977154,0.887537653449017,-4.59504346737284
"215235_at","215235_at","SPTAN1","6709","spectrin alpha, non-erythrocytic 1",-82.6010970725098,78.8211581084391,-8.66310123737115,0.00322078834428612,0.887537653449017,-4.59504367016243
"201142_at","201142_at","EIF2S1","1965","eukaryotic translation initiation factor 2 subunit alpha",-99.8412932571615,224.532793719727,-8.57318768179238,0.00332007339136013,0.887537653449017,-4.59504375360302
"219968_at","219968_at","ZNF589","51385","zinc finger protein 589",86.5035756608073,179.904136666667,8.49209168733541,0.00341312176463196,0.887537653449017,-4.59504383102412
"201352_at","201352_at","YME1L1","10730","YME1 like 1 ATPase",191.171651264323,1110.43222048893,8.4303052670515,0.00348634107497153,0.887537653449017,-4.59504389143525
"209019_s_at","209019_s_at","PINK1","65018","PTEN induced kinase 1",-465.750244117188,1426.42041016797,-8.41041159697513,0.00351035727400355,0.887537653449017,-4.59504391115464
"222304_x_at","222304_x_at","OR7E47P","26628","olfactory receptor family 7 subfamily E member 47 pseudogene",-109.894917970052,343.876505451823,-8.37509648878746,0.00355353210858983,0.887537653449017,-4.59504394648818
"205285_s_at","205285_s_at","FYB","2533",NA,96.3370861898804,62.2624186620585,8.37454169363801,0.00355421596378326,0.887537653449017,-4.59504394704664
"206069_s_at","206069_s_at","ACADL","33","acyl-CoA dehydrogenase long chain",-82.1992797584636,116.160675062174,-8.33457647055714,0.00360393920027743,0.887537653449017,-4.59504398755338
"210038_at","210038_at","PRKCQ","5588","protein kinase C theta",-496.209554013021,1384.2341715612,-8.27324977627648,0.00368204279083126,0.887537653449017,-4.5950440507923
"218113_at","218113_at","TMEM2","23670",NA,72.8716201324869,97.5825487543945,8.17737933986671,0.00380868327514038,0.887537653449017,-4.595044152354
"214356_s_at","214356_s_at","KIAA0368","23392",NA,-210.748209677084,1029.73744708203,-8.15247577910438,0.00384251869273939,0.887537653449017,-4.59504417929012
"218398_at","218398_at","MRPS30","10884","mitochondrial ribosomal protein S30",-126.24768073112,301.921437547852,-8.1385010871728,0.0038616795861837,0.887537653449017,-4.59504419450755
"218082_s_at","218082_s_at","UBP1","7342","upstream binding protein 1",78.6890436918945,208.185370132894,8.1291223767604,0.00387460969773219,0.887537653449017,-4.59504420476178
"208113_x_at","208113_x_at","PABPC3","5042","poly(A) binding protein cytoplasmic 3",-189.280487111328,431.942682876628,-8.12620505883569,0.00387864336555267,0.887537653449017,-4.59504420795826
