"","PROBEID","ACCNUM","SYMBOL","ENTREZID","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"219750_at","219750_at","NM_018342","TMEM144","55314","transmembrane protein 144",3.4463899235038,2.30945434532901,8.51237620488318,0.000208260783293581,0.823569047915534,-4.25190024391391
"219895_at","219895_at","NM_017938","TMEM255A","55026","transmembrane protein 255A",3.22474982471638,3.56587407290101,7.62521085991884,0.000369431589104146,0.823569047915534,-4.25947552641888
"205285_s_at","205285_s_at","AI633888","FYB","2533",NA,3.00334362260281,5.27723103465738,7.49781229728736,0.000402991430638022,0.823569047915534,-4.26076112486934
"220348_at","220348_at","NM_025067","KLHL29","114818","kelch like family member 29",3.32124136195462,3.58227976504526,7.40792460988579,0.000428811543347342,0.823569047915534,-4.26170313716166
"220563_s_at","220563_s_at","NM_016148","SHANK1","50944","SH3 and multiple ankyrin repeat domains 1",2.77126553583253,4.67115980638188,7.28474128831331,0.00046738795753783,0.823569047915534,-4.26304348983829
"204750_s_at","204750_s_at","BF196457","DSC2","1824","desmocollin 2",3.33569399024145,4.38440088048593,7.23282215104823,0.000484846419980541,0.823569047915534,-4.26362622883869
"207333_at","207333_at","NM_002511","NMBR","4829","neuromedin B receptor",2.72810162357566,4.81723916231732,7.2088788917224,0.000493152399681332,0.823569047915534,-4.26389863412434
"219794_at","219794_at","NM_018289","VPS53","55275","VPS53 subunit of GARP complex",2.62888804944665,4.3976398899796,7.08842234633041,0.000537534011057621,0.823569047915534,-4.26530526681089
"202999_s_at","202999_s_at","AF117949","LOXL2","4017","lysyl oxidase like 2",2.49253076801673,4.94108327403084,6.92597888798255,0.000604947068803159,0.823569047915534,-4.26730244772042
"217072_at","217072_at","AF161346","CD300A","11314","CD300a molecule",2.38033371832783,4.68949056231183,6.47291069155403,0.000851537376357985,0.823569047915534,-4.27355627868225
"217533_x_at","217533_x_at","AW268081","PWWP2A","114825","PWWP domain containing 2A",2.46487280008489,4.89789015243657,6.4021597838292,0.000899788134344939,0.823569047915534,-4.27463414072573
"222161_at","222161_at","AJ012370","NAALAD2","10003","N-acetylated alpha-linked acidic dipeptidase 2",-2.4248460515308,4.07062938374679,-6.28351892201498,0.000987992779363666,0.823569047915534,-4.276509606389
"219457_s_at","219457_s_at","NM_024832","RIN3","79890","Ras and Rab interactor 3",2.26313122259251,3.39669750918751,6.2000976281621,0.00105602407688993,0.823569047915534,-4.27788168489216
"206489_s_at","206489_s_at","NM_004746","DLGAP1","9229","DLG associated protein 1",2.24530715718153,3.51301526673521,6.06385210081116,0.00117914346903925,0.823569047915534,-4.2802227872467
"211797_s_at","211797_s_at","U62296","NFYC","4802","nuclear transcription factor Y subunit gamma",-2.35562467866486,3.91159409007367,-6.01637497553385,0.00122589056872114,0.823569047915534,-4.28106911134947
"208119_s_at","208119_s_at","NM_031218","ZNF93","81931","zinc finger protein 93",2.17505297809449,5.1723409696617,6.01348647749532,0.00122880309924073,0.823569047915534,-4.28112112670708
"205637_s_at","205637_s_at","NM_003027","SH3GL3","6457","SH3 domain containing GRB2 like 3, endophilin A3",2.20496511426497,5.43041725717745,6.00500515756846,0.00123740131296663,0.823569047915534,-4.28127420777928
"202148_s_at","202148_s_at","NM_006907","PYCR1","5831","pyrroline-5-carboxylate reductase 1",2.36063661535335,4.98960481374194,5.99566636721662,0.00124694936236981,0.823569047915534,-4.28144337434312
"207037_at","207037_at","NM_003839","TNFRSF11A","8792","TNF receptor superfamily member 11a",2.7352100566278,3.89949263458709,5.98305945620473,0.00125997413723299,0.823569047915534,-4.28167275831155
"213719_s_at","213719_s_at","AI831675","SMARCA4","6597","SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4",2.12865317584328,3.54554044758293,5.97258145903634,0.00127091917113436,0.823569047915534,-4.28186430081077
"204965_at","204965_at","NM_000583","GC","2638","GC vitamin D binding protein",2.2101677055291,4.20931124411465,5.91710991127858,0.00133072620931944,0.823569047915534,-4.28289205227103
"205464_at","205464_at","NM_000336","SCNN1B","6338","sodium channel epithelial 1 subunit beta",2.53157359890259,5.02038587131528,5.83871951447472,0.00142087441818018,0.823569047915534,-4.28438472322304
"204652_s_at","204652_s_at","NM_005011","NRF1","4899","nuclear respiratory factor 1",2.11683280035746,3.84318372907067,5.79037692678968,0.00147998007990331,0.823569047915534,-4.28532949955068
"203444_s_at","203444_s_at","NM_004739","MTA2","9219","metastasis associated 1 family member 2",2.32574445625739,3.87339394382346,5.67274511261661,0.00163604474560318,0.823569047915534,-4.28770902627576
"205278_at","205278_at","NM_000817","GAD1","2571","glutamate decarboxylase 1",2.33496569541681,4.09566749369845,5.66773011577337,0.00164310893393156,0.823569047915534,-4.28781308729956
"206207_at","206207_at","NM_001828","CLC","1178","Charcot-Leyden crystal galectin",2.00271144126201,5.21737407732545,5.61969728444867,0.00171258035068287,0.823569047915534,-4.28882091993202
"211523_at","211523_at","L07949","GNRHR","2798","gonadotropin releasing hormone receptor",2.4181360648417,3.53109910827943,5.61611289365243,0.00171789892957169,0.823569047915534,-4.28889694596424
"201767_s_at","201767_s_at","NM_018127","ELAC2","60528","elaC ribonuclease Z 2",-2.38766994154592,5.30385557021326,-5.58169483304558,0.00176994987525095,0.823569047915534,-4.28963283118076
"220496_at","220496_at","NM_016509","CLEC1B","51266","C-type lectin domain family 1 member B",1.99339629165876,5.06248037030333,5.57785033399655,0.00177587602283759,0.823569047915534,-4.28971569427422
"210690_at","210690_at","U96845","KLRC4","8302","killer cell lectin like receptor C4",2.61687320182146,2.48902109725088,5.5076190816941,0.00188826330945325,0.823569047915534,-4.29125338955505
"203523_at","203523_at","NM_002339","LSP1","4046","lymphocyte specific protein 1",-2.24719899960253,4.91794572661075,-5.49764459630665,0.00190488026833279,0.823569047915534,-4.29147551590358
"205746_s_at","205746_s_at","U86755","ADAM17","6868","ADAM metallopeptidase domain 17",-2.02135372854792,3.48489433829927,-5.44202716562904,0.00200068174869522,0.823569047915534,-4.29273153551145
"216300_x_at","216300_x_at","BE383139","RARA","5914","retinoic acid receptor alpha",-2.06436804963946,5.39255425691023,-5.4349214523623,0.00201331650144559,0.823569047915534,-4.29289416428531
"209368_at","209368_at","AF233336","EPHX2","2053","epoxide hydrolase 2",1.99562295730007,4.02835491421493,5.39220998569339,0.00209122584924754,0.823569047915534,-4.29388220189735
"209153_s_at","209153_s_at","M31523","TCF3","6929","transcription factor 3",-2.14467428298154,4.66012670275861,-5.38987936045807,0.00209557593617747,0.823569047915534,-4.29393663857069
"204614_at","204614_at","NM_002575","SERPINB2","5055","serpin family B member 2",2.46845661660153,4.18865215222045,5.36806566811068,0.00213679964378075,0.823569047915534,-4.29444879657972
"212234_at","212234_at","AL034550","ASXL1","171023","ASXL transcriptional regulator 1",-2.19107889328468,4.6311198812696,-5.31527646725228,0.00224047972448884,0.823569047915534,-4.29570832908043
"217716_s_at","217716_s_at","NM_013336","SEC61A1","29927","SEC61 translocon subunit alpha 1",-2.59195267306134,5.9276172392638,-5.2776109788847,0.00231799671338047,0.823569047915534,-4.29662475709469
"211565_at","211565_at","AF036272","SH3GL3","6457","SH3 domain containing GRB2 like 3, endophilin A3",3.09496877685104,5.3028880056699,5.25988600883164,0.00235553916397094,0.823569047915534,-4.29706122877737
"210631_at","210631_at","D42072","LOC101930150 /// NF1","4763 /// 101930150",NA,1.95679246806776,4.16117687278138,5.23231583214756,0.00241533175184448,0.823569047915534,-4.29774686049512
"209875_s_at","209875_s_at","M83248","SPP1","6696","secreted phosphoprotein 1",1.88511487227063,4.4271130118385,5.21096735564104,0.00246283055068483,0.823569047915534,-4.29828345757676
"217601_at","217601_at","AL523184","NUP188","23511","nucleoporin 188",-1.8444984402838,4.62709673084031,-5.20748166987744,0.00247068742343656,0.823569047915534,-4.29837154683554
"207589_at","207589_at","NM_000679","ADRA1B","147","adrenoceptor alpha 1B",2.35841652313399,3.14882423681316,5.20639696197308,0.00247313826848958,0.823569047915534,-4.29839898665253
"215270_at","215270_at","U94354","LFNG","3955","LFNG O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase",2.02304137456899,3.58078823486516,5.19587324756237,0.00249706161972906,0.823569047915534,-4.29866588136081
"221704_s_at","221704_s_at","BC005882","VPS37B","79720","VPS37B subunit of ESCRT-I",-1.82960153826958,4.59740192927959,-5.17187079793602,0.00255262704614954,0.823569047915534,-4.29927923316156
"216056_at","216056_at","AW851559","CD44","960","CD44 molecule (Indian blood group)",2.19010347637209,4.18933945543827,5.15664112672212,0.00258861965233521,0.823569047915534,-4.29967176773505
"206898_at","206898_at","NM_021153","CDH19","28513","cadherin 19",2.29125523904822,4.10838530290996,5.13884069687193,0.00263142855203842,0.823569047915534,-4.30013390157328
"210954_s_at","210954_s_at","AF201292","TSC22D2","9819","TSC22 domain family member 2",1.93883235283562,3.6412161157808,5.1378939439918,0.00263372809591083,0.823569047915534,-4.30015858254742
"200947_s_at","200947_s_at","NM_005271","GLUD1","2746","glutamate dehydrogenase 1",-1.91938287375837,5.86009795775533,-5.11546363752173,0.00268888903026455,0.823569047915534,-4.30074633823287
"220652_at","220652_at","NM_018278","KIF24","347240","kinesin family member 24",2.31517552241716,4.33429195108431,5.09405088732334,0.00274278784871679,0.823569047915534,-4.30131287721141
"213563_s_at","213563_s_at","AA016035","TUBGCP2","10844","tubulin gamma complex associated protein 2",2.08166851752392,4.65033128049353,5.07893104748577,0.0027815935533987,0.823569047915534,-4.30171615673402
"214845_s_at","214845_s_at","AF257659","CALU","813","calumenin",2.29244133067141,4.11934816919432,5.07802094379816,0.00278394939741824,0.823569047915534,-4.30174051731224
"205580_s_at","205580_s_at","D28481","HRH1","3269","histamine receptor H1",2.01893461123416,5.45268318629837,5.07679189798446,0.002787134470895,0.823569047915534,-4.30177343052011
"207579_at","207579_at","NM_002365","MAGEB3","4114","MAGE family member B3",1.79270575517929,2.4441151258421,5.06169615305199,0.00282659803944497,0.823569047915534,-4.30217915008481
"211011_at","211011_at","D38163","COL19A1","1310","collagen type XIX alpha 1 chain",1.84908720988356,3.5247790516964,5.02709913542658,0.002919483834077,0.823569047915534,-4.30311929577525
"204298_s_at","204298_s_at","NM_002317","LOX","4015","lysyl oxidase",2.10008037912397,3.92714664383027,4.98463607421593,0.00303831043471018,0.823569047915534,-4.30429312601932
